cl,subclass_id,subclass_id_label
5135,168,168 SPA-SPFm-SPFp-POL-PIL-PoT Sp9 Glut
5138,168,168 SPA-SPFm-SPFp-POL-PIL-PoT Sp9 Glut
5144,168,168 SPA-SPFm-SPFp-POL-PIL-PoT Sp9 Glut
5146,168,168 SPA-SPFm-SPFp-POL-PIL-PoT Sp9 Glut
5147,168,168 SPA-SPFm-SPFp-POL-PIL-PoT Sp9 Glut
4773,168,168 SPA-SPFm-SPFp-POL-PIL-PoT Sp9 Glut
4769,168,168 SPA-SPFm-SPFp-POL-PIL-PoT Sp9 Glut
5143,168,168 SPA-SPFm-SPFp-POL-PIL-PoT Sp9 Glut
4794,168,168 SPA-SPFm-SPFp-POL-PIL-PoT Sp9 Glut
4772,168,168 SPA-SPFm-SPFp-POL-PIL-PoT Sp9 Glut
4784,168,168 SPA-SPFm-SPFp-POL-PIL-PoT Sp9 Glut
4785,168,168 SPA-SPFm-SPFp-POL-PIL-PoT Sp9 Glut
4787,168,168 SPA-SPFm-SPFp-POL-PIL-PoT Sp9 Glut
4790,168,168 SPA-SPFm-SPFp-POL-PIL-PoT Sp9 Glut
4768,168,168 SPA-SPFm-SPFp-POL-PIL-PoT Sp9 Glut
4801,168,168 SPA-SPFm-SPFp-POL-PIL-PoT Sp9 Glut
4845,168,168 SPA-SPFm-SPFp-POL-PIL-PoT Sp9 Glut
4846,168,168 SPA-SPFm-SPFp-POL-PIL-PoT Sp9 Glut
4847,168,168 SPA-SPFm-SPFp-POL-PIL-PoT Sp9 Glut
4852,168,168 SPA-SPFm-SPFp-POL-PIL-PoT Sp9 Glut
4853,168,168 SPA-SPFm-SPFp-POL-PIL-PoT Sp9 Glut
4856,168,168 SPA-SPFm-SPFp-POL-PIL-PoT Sp9 Glut
4857,168,168 SPA-SPFm-SPFp-POL-PIL-PoT Sp9 Glut
5134,168,168 SPA-SPFm-SPFp-POL-PIL-PoT Sp9 Glut
5136,168,168 SPA-SPFm-SPFp-POL-PIL-PoT Sp9 Glut
5137,168,168 SPA-SPFm-SPFp-POL-PIL-PoT Sp9 Glut
5139,168,168 SPA-SPFm-SPFp-POL-PIL-PoT Sp9 Glut
5145,168,168 SPA-SPFm-SPFp-POL-PIL-PoT Sp9 Glut
4792,168,168 SPA-SPFm-SPFp-POL-PIL-PoT Sp9 Glut
4793,168,168 SPA-SPFm-SPFp-POL-PIL-PoT Sp9 Glut
4796,168,168 SPA-SPFm-SPFp-POL-PIL-PoT Sp9 Glut
4797,168,168 SPA-SPFm-SPFp-POL-PIL-PoT Sp9 Glut
4798,168,168 SPA-SPFm-SPFp-POL-PIL-PoT Sp9 Glut
4799,168,168 SPA-SPFm-SPFp-POL-PIL-PoT Sp9 Glut
4800,168,168 SPA-SPFm-SPFp-POL-PIL-PoT Sp9 Glut
4851,168,168 SPA-SPFm-SPFp-POL-PIL-PoT Sp9 Glut
4762,168,168 SPA-SPFm-SPFp-POL-PIL-PoT Sp9 Glut
4763,168,168 SPA-SPFm-SPFp-POL-PIL-PoT Sp9 Glut
4764,168,168 SPA-SPFm-SPFp-POL-PIL-PoT Sp9 Glut
4765,168,168 SPA-SPFm-SPFp-POL-PIL-PoT Sp9 Glut
4774,168,168 SPA-SPFm-SPFp-POL-PIL-PoT Sp9 Glut
4795,168,168 SPA-SPFm-SPFp-POL-PIL-PoT Sp9 Glut
4727,168,168 SPA-SPFm-SPFp-POL-PIL-PoT Sp9 Glut
4737,168,168 SPA-SPFm-SPFp-POL-PIL-PoT Sp9 Glut
2164,168,168 SPA-SPFm-SPFp-POL-PIL-PoT Sp9 Glut
2165,168,168 SPA-SPFm-SPFp-POL-PIL-PoT Sp9 Glut
2364,168,168 SPA-SPFm-SPFp-POL-PIL-PoT Sp9 Glut
4527,169,169 PAG-SC Pou4f1 Zic1 Glut
4528,169,169 PAG-SC Pou4f1 Zic1 Glut
4529,169,169 PAG-SC Pou4f1 Zic1 Glut
4533,169,169 PAG-SC Pou4f1 Zic1 Glut
4534,169,169 PAG-SC Pou4f1 Zic1 Glut
4543,169,169 PAG-SC Pou4f1 Zic1 Glut
4549,169,169 PAG-SC Pou4f1 Zic1 Glut
4572,169,169 PAG-SC Pou4f1 Zic1 Glut
4573,169,169 PAG-SC Pou4f1 Zic1 Glut
4524,169,169 PAG-SC Pou4f1 Zic1 Glut
4535,169,169 PAG-SC Pou4f1 Zic1 Glut
4517,169,169 PAG-SC Pou4f1 Zic1 Glut
4646,169,169 PAG-SC Pou4f1 Zic1 Glut
4647,169,169 PAG-SC Pou4f1 Zic1 Glut
4542,169,169 PAG-SC Pou4f1 Zic1 Glut
4545,169,169 PAG-SC Pou4f1 Zic1 Glut
4550,169,169 PAG-SC Pou4f1 Zic1 Glut
4554,169,169 PAG-SC Pou4f1 Zic1 Glut
4555,169,169 PAG-SC Pou4f1 Zic1 Glut
4556,169,169 PAG-SC Pou4f1 Zic1 Glut
4574,169,169 PAG-SC Pou4f1 Zic1 Glut
4544,169,169 PAG-SC Pou4f1 Zic1 Glut
4547,169,169 PAG-SC Pou4f1 Zic1 Glut
4548,169,169 PAG-SC Pou4f1 Zic1 Glut
4552,169,169 PAG-SC Pou4f1 Zic1 Glut
4553,169,169 PAG-SC Pou4f1 Zic1 Glut
4575,169,169 PAG-SC Pou4f1 Zic1 Glut
4546,169,169 PAG-SC Pou4f1 Zic1 Glut
4519,169,169 PAG-SC Pou4f1 Zic1 Glut
4520,169,169 PAG-SC Pou4f1 Zic1 Glut
4521,169,169 PAG-SC Pou4f1 Zic1 Glut
4522,169,169 PAG-SC Pou4f1 Zic1 Glut
4523,169,169 PAG-SC Pou4f1 Zic1 Glut
4526,170,170 PAG-MRN Tfap2b Glut
4481,170,170 PAG-MRN Tfap2b Glut
4482,170,170 PAG-MRN Tfap2b Glut
4485,170,170 PAG-MRN Tfap2b Glut
4486,170,170 PAG-MRN Tfap2b Glut
4487,170,170 PAG-MRN Tfap2b Glut
4490,170,170 PAG-MRN Tfap2b Glut
4502,170,170 PAG-MRN Tfap2b Glut
4508,170,170 PAG-MRN Tfap2b Glut
4509,170,170 PAG-MRN Tfap2b Glut
4473,170,170 PAG-MRN Tfap2b Glut
4475,170,170 PAG-MRN Tfap2b Glut
4484,170,170 PAG-MRN Tfap2b Glut
4491,170,170 PAG-MRN Tfap2b Glut
4501,170,170 PAG-MRN Tfap2b Glut
4503,170,170 PAG-MRN Tfap2b Glut
4531,170,170 PAG-MRN Tfap2b Glut
4536,170,170 PAG-MRN Tfap2b Glut
4537,170,170 PAG-MRN Tfap2b Glut
4538,170,170 PAG-MRN Tfap2b Glut
4539,170,170 PAG-MRN Tfap2b Glut
4964,170,170 PAG-MRN Tfap2b Glut
4479,170,170 PAG-MRN Tfap2b Glut
4480,170,170 PAG-MRN Tfap2b Glut
4488,170,170 PAG-MRN Tfap2b Glut
4506,170,170 PAG-MRN Tfap2b Glut
4525,170,170 PAG-MRN Tfap2b Glut
4530,170,170 PAG-MRN Tfap2b Glut
4470,170,170 PAG-MRN Tfap2b Glut
4472,170,170 PAG-MRN Tfap2b Glut
4489,170,170 PAG-MRN Tfap2b Glut
4514,170,170 PAG-MRN Tfap2b Glut
4495,170,170 PAG-MRN Tfap2b Glut
4510,170,170 PAG-MRN Tfap2b Glut
