marker_set,best_cluster,best_AUROC
318,Ex_Fezf2_C1qtnf7,0.971942864957292
91,Ex_Fezf2_Cdc25c_3,0.9521100506650206
1077,Ex_Fezf2_Cfap58_1,0.988964066215231
394,Ex_Fezf2_Chrna6,0.9939803855327044
1339,Ex_Fezf2_Cnksr3_Areg,0.8389593808398054
66,Ex_Fezf2_Col6a1_Gp139_Fos,0.9783599105703924
738,Ex_Fezf2_Dlk1_A730049H05Rik,0.9724584024231636
126,Ex_Fezf2_Dlk1_Meis2,0.9980143103790072
443,Ex_Fezf2_Fibcd1_Fos_Sema3e,0.9897190759359484
372,Ex_Fezf2_Fn1_Mctp2,0.9931040454581485
289,Ex_Fezf2_Hc,0.9747164208181996
402,Ex_Fezf2_Hmga2_Gfra2,0.9949673041328834
204,Ex_Fezf2_Hmga2_Ttc6,0.996968150893565
182,Ex_Fezf2_Il22,0.9885910437923948
4628,Ex_Fezf2_Lhx9_3,0.991732558526364
121,Ex_Fezf2_Lipm,0.989425787001016
87,Ex_Fezf2_Pvalb_Pirt,0.9718252761600402
5088,Ex_Fezf2_Spaar,0.9898275094244914
41,Ex_Fezf2_Tmem255b_1,0.9474130674276636
1129,Ex_Fezf2_Tmem255b_2,0.9663319047403436
226,Ex_Fibcd1_Psrc1_2,0.96956028773924
918,Ex_Fibcd1_Slc9a4_1,0.963605148432767
4520,Ex_Fibcd1_Slc9a4_2,0.9734699915313664
4365,Ex_Fibcd1_Tacr3_1,0.963969179197938
2317,Ex_Fn1_Cfap58,0.9686551080290616
2382,Ex_Foxb1_Arhgef38_2,0.9825620688882024
4926,Ex_Foxb1_Arhgef38_5,0.9903151769642998
2462,Ex_Foxb1_Ctxn3_1,0.9321505883759724
3669,Ex_Foxb1_Ctxn3_3,0.9631250753630066
5075,Ex_Foxb1_Plekhg6,0.966755873375162
47,Ex_Foxd3_Irx4_2,0.957376424228306
1586,Ex_Foxp2_C130074G19Rik_1,0.9648705604244624
610,Ex_Foxp2_Esp24,0.9666801513613648
76,Ex_Foxp2_Myzap,0.7570793381709953
3589,Ex_Gabra6_Gabrd,0.9501177186394402
3758,Ex_Gata3_Tgm6_2,0.9457677957309132
4407,Ex_Gbx2_Adam18_2,0.9918316283078932
4305,Ex_Gbx2_Wif1,0.9991542067640206
1035,Ex_Hmx2_Abcc9_3,0.9511827122170824
1714,Ex_Hmx2_Ppef1_4,0.9872986912916184
2613,Ex_Hmx3_Npbwr1,0.9966043276264382
4144,Ex_Hmx3_Sst,0.8918473359137661
4020,Ex_Hoxb3_Ldlrap1_14,0.8000772977047345
2448,Ex_Hoxb3_Ldlrap1_16,0.935353126137163
3165,Ex_Hoxb3_Ldlrap1_17,0.972451025377691
4052,Ex_Hoxb3_Ldlrap1_18,0.97778740330666
4548,Ex_Hoxb3_Ldlrap1_3,0.9730684455090134
3124,Ex_Hoxb3_Ldlrap1_9,0.9746472406473032
24429,Ex_Hoxb5_Epsti1_1,0.9952632463767148
4381,Ex_Hoxb5_Klc3,0.9868198381994568
4655,Ex_Hoxb5_Prdm16_2,0.9227263512121232
3701,Ex_Hoxc4_Slc22a3,0.9908544597030328
3829,Ex_Hoxc6_Dpp4,0.960836037940752
141,Ex_Hoxc6_Epsti1_2,0.9799609667947076
3816,Ex_Hoxc6_Ppef1,0.9891818612293212
234,Ex_Hoxc6_Rxfp2_2,0.9786309921955731
2693,Ex_Iqcj_Ms4a15_1,0.9627350582102168
3595,Ex_Iqcj_Ms4a15_2,0.9933412562286902
2262,Ex_Iqcj_Ms4a15_4,0.934886767325248
2717,Ex_Iqcj_Ms4a15_6,0.9997494739147048
1935,Ex_Iqcj_Ms4a15_8,0.9217846425453362
4061,Ex_Irx1_Padi1_1,0.974733017131427
1690,Ex_Irx1_Padi1_3,0.9891240823040248
14884,Ex_Irx2_Col2a1_3,0.84093487390642
3524,Ex_Irx2_Nppc_1,0.99399667726958
2524,Ex_Irx2_Nppc_3,0.9967169511215586
2933,Ex_Irx2_Popdc3_1,0.9890752652141892
2913,Ex_Irx2_Popdc3_2,0.9946158756080848
4825,Ex_Irx2_Twist1_2,0.9537294257057723
2912,Ex_Irx2_Twist1_7,0.9966750408801652
1478,Ex_Lamc3_Fzd9_1,0.9518505234687022
4088,Ex_Lamc3_Fzd9_2,0.9841262068152083
3331,Ex_Lhx2_Frk,0.9831337592992732
4845,Ex_Lhx2_Gng8_2,0.9586478033530396
2039,Ex_Lhx2_Hgf_1,0.9865234900990788
4795,Ex_Lhx2_Nek11_7,0.9995959446598228
4151,Ex_Lhx2_Tlx1_1,0.9534233633906404
3473,Ex_Lhx2_Tlx1_2,0.9920969829111356
2310,Ex_Lhx3_Col5a2,0.9871497793461924
2499,Ex_Lhx3_Il1f9,0.8523662556894233
5103,Ex_Lhx3_Slc5a7_2,0.8141277960351292
3700,Ex_Lhx3_Slc5a7_4,0.94870725662073
3094,Ex_Lhx3_Tlcd1_2,0.8831430360481395
4176,Ex_Lhx9_A1bg_1,0.997614630860131
24521,Ex_Lhx9_Acp7,0.9830347260537956
2265,Ex_Lhx9_Chrm1_1,0.950598529908852
5013,Ex_Lhx9_Frk_1,0.9890793732976352
4134,Ex_Lhx9_Hsd17b14_1,0.7202131615155295
4542,Ex_Lhx9_Mcoln2,0.9835357359839046
181,Ex_Lhx9_Mstn_Vxn,0.9965671648781912
2606,Ex_Lhx9_Nps_4,0.9838529908052602
2420,Ex_Lhx9_Ppp1r1c,0.9616608358009836
1011,Ex_Lhx9_Ripk4,0.973064057894056
2655,Ex_Lhx9_Slc38a11_2,0.9837092289232854
24575,Ex_Lhx9_Tslp,0.9614383670061516
2908,Ex_Lhx9_Tyrp1_1,0.9774404730544496
1713,Ex_Lhx9_Wdr72,0.9533326797180331
24613,Ex_Lmx1a_Cbln2_2,0.983031853697792
2244,Ex_Lmx1a_Crhbp_2,0.9984472759903068
2580,Ex_Lmx1a_Csf2rb2_1,0.7960552838145069
2340,Ex_Lmx1a_Csf2rb2_3,0.9468026785557616
926,Ex_Lmx1a_Dkkl1,0.970889142642928
2571,Ex_Lmx1a_H2-Q10_2,0.997913710096171
2798,Ex_Lmx1a_Myf5,0.9966678387867643
2188,Ex_Lmx1a_Pgr15l_2,0.7484946917169478
248,Ex_Lmx1a_Samd3,0.9788978968547136
4117,Ex_Lmx1a_Serpina9,0.976292045961817
1210,Ex_Lmx1a_Smd3,0.9308825853383856
4233,Ex_Lmx1b_Arsj_2,0.9935456732623686
4508,Ex_Lmx1b_Cd36_2,0.9216135708003876
2786,Ex_Lmx1b_Dynap_4,0.8700080808393565
4250,Ex_Lmx1b_Dynap_5,0.8332955111345837
24688,Ex_Lmx1b_Dytn,0.8879479355409238
2274,Ex_Lmx1b_Olfr25,0.7205501379351517
14990,Ex_Lmx1b_Pi15,0.7406339115605921
3269,Ex_Lmx1b_Scn5a_2,0.7283124875365343
787,Ex_Lypd6b_Dipk1c_2,0.976253583410088
1516,Ex_Maff_Atf3_1,0.995988013829952
5268,Ex_Maff_Atf3_3,0.9991130543693816
4515,Ex_Neurod6_Fam83b,0.975550138605066
1563,Ex_Neurod6_Pou4f3_1,0.9588651522575752
4993,Ex_Neurod6_Pou4f3_3,0.9653774580015166
2826,Ex_Nkx2-1_Nppb,0.7517312761217271
1882,Ex_Nkx2-1_Otp_2,0.9991031646779124
547,Ex_Nkx2-1_Pmch_1,0.9635798380346832
2153,Ex_Nkx2-1_Pmch_2,0.9991432171139992
2440,Ex_Nkx2-4_Calcr_5,0.9965765327719404
1028,Ex_Nkx2-4_Calcr_7,0.994793406000254
2318,Ex_Nkx2-4_Cd44_1,0.9775403619796724
1684,Ex_Nkx2-4_Cdkn1c_1,0.8060147791899174
1207,Ex_Nkx2-4_Grpr_5,0.989441266623092
2149,Ex_Nkx6-1_Atp6v1c2,0.8677687417754358
4749,Ex_Nkx6-1_Gucy2c_2,0.9944914599316532
1606,Ex_Nkx6-1_Gucy2c_3,0.995122656262054
2574,Ex_Nkx6-1_Gucy2c_4,0.997186173998284
2144,Ex_Nkx6-1_Nccrp1_1,0.8287688550710485
51,Ex_Nxph4_Kynu,0.9881712036791344
32,Ex_Nxph4_Megf6,0.9947738115517056
1148,Ex_Nxph4_Moxd1_Igfbp4,0.975086932856125
2079,Ex_Nxph4_Nmbr,0.8747196293421355
3880,Ex_Nxph4_Olfr110_Cplx3,0.9323206200198104
4527,Ex_Nxph4_Twist1_4,0.7118327156395645
100,Ex_Onecut2_Hmx3_Trim6_1,0.9536235008367347
1554,Ex_Onecut3_Mup6,0.8573831289249061
4904,Ex_Oprk1_Col11a1,0.9641982659167588
1014,Ex_Pax2_Erfl_4,0.9389987871181992
34372,Ex_Pax5_Rgs13_1,0.683521751296975
1569,Ex_Pax6_Avpr1a_3,0.9990360606209122
1018,Ex_Pax6_Pgr15l_1,0.998695453840685
1250,Ex_Pax6_Pgr15l_2,0.9949631443342686
2793,Ex_Pax8_Rassf10,0.6409699516315259
3684,Ex_Phox2_4930469K13Rik,0.990411866535354
2716,Ex_Phox2a_Nms,0.9966531280078754
2983,Ex_Phox2a_Qrfpr,0.970274314565278
3963,Ex_Phox2b_Adora2a,0.9998926521764264
4220,Ex_Phox2b_Bmp3_3,0.9966294252492116
3931,Ex_Phox2b_Cd36,0.9721287043472464
2621,Ex_Phox2b_Clca3a2,0.9996769118457464
3951,Ex_Phox2b_Dbh_4,0.7555954297631821
3907,Ex_Phox2b_Ddc,0.980401457862005
2637,Ex_Phox2b_Dkk2_2,0.9994417278287964
2181,Ex_Phox2b_Dpy19l2,0.9939887947135796
3910,Ex_Phox2b_Dsc3_1,0.9758828841171826
3919,Ex_Phox2b_Esm1,0.997859657744909
4019,Ex_Phox2b_Frem2,0.983959531454398
3793,Ex_Phox2b_Ghrh_1,0.9697584422215528
3942,Ex_Phox2b_Hhip_1,0.9985511706569536
822,Ex_Phox2b_Igfbpl1_3,0.7719259718104289
4316,Ex_Phox2b_Igfbpl1_5,0.9965096471983526
15032,Ex_Phox2b_Npffr2_1,0.9819503073567918
3090,Ex_Phox2b_Olfr560_1,0.9716868931865555
