Zeng_cluster,Macosko_cluster,p_value,Macokso_marker_size,Zeng_marker_size
3458,Ex_Ebf2_Prox1_Pou4f3,7.469978074418258e-07,8.0,4.0
3799,Ex_Ebf2_Prox1_Pou4f3,1.2447614684668015e-06,8.0,5.0
4951,Ex_Ebf2_Prox1_Pou4f3,7.469978074418258e-07,8.0,4.0
4640,Ex_Ebf2_Slc5a7,8.00606510234552e-08,4.0,3.0
1975,Ex_Ebf2_Sox6,4.003158422803956e-08,3.0,3.0
2940,Ex_Ebf2_Sox6,1.3344280981450513e-08,3.0,2.0
3764,Ex_Ebf2_Sox6,4.003158422803956e-08,3.0,3.0
4093,Ex_Ebf2_Sox6,4.003158422803956e-08,3.0,3.0
4112,Ex_Ebf2_Sox6,1.3344280981450513e-08,3.0,2.0
4596,Ex_Ebf2_Sp5_8,2.668352727575654e-07,5.0,4.0
4815,Ex_Ebf2_Sp5_8,1.3343022265138534e-07,5.0,3.0
4816,Ex_Ebf2_Sp5_8,2.668352727575654e-07,5.0,4.0
4599,Ex_Ebf2_Spef2_1,8.00606510234552e-08,4.0,3.0
4604,Ex_Ebf2_Spef2_1,8.00606510234552e-08,4.0,3.0
5001,Ex_Ebf2_Spef2_1,4.002277374816599e-07,4.0,6.0
5136,Ex_Ebf2_Spef2_1,1.6011123267262136e-07,4.0,4.0
1031,Ex_Ebf2_Spef2_4,2.668352727575654e-07,4.0,5.0
1274,Ex_Ebf2_Spef2_4,1.6011123267262136e-07,4.0,4.0
1894,Ex_Ebf2_Spef2_4,1.6011123267262136e-07,4.0,4.0
4634,Ex_Ebf2_Spef2_4,8.00606510234552e-08,4.0,3.0
4914,Ex_Ebf2_Spef2_4,2.668352727575654e-07,4.0,5.0
4741,Ex_Ebf2_Spef2_7,4.44683503322212e-07,5.0,5.0
4916,Ex_Ebf2_Spef2_7,2.668352727575654e-07,5.0,4.0
1538,Ex_Ebf2_Tnc,1.6011123267262136e-07,4.0,4.0
2204,Ex_Ebf2_Vwce,8.00606510234552e-08,4.0,3.0
4298,Ex_Ebf3_Adam33_1,1.6011123267262136e-07,4.0,4.0
4259,Ex_Ebf3_Adam33_10,1.3343022265138534e-07,5.0,3.0
3701,Ex_Ebf3_Adam33_4,2.668352727575654e-07,5.0,4.0
4043,Ex_Ebf3_Adam33_4,1.3343022265138534e-07,5.0,3.0
4221,Ex_Ebf3_Dsc3,4.003158422803956e-08,3.0,3.0
2532,Ex_Emx2_Foxa2_2,2.668352727575654e-07,4.0,5.0
1070,Ex_Emx2_Pamr1,6.669623325249725e-07,5.0,6.0
1814,Ex_Emx2_Pamr1,2.668352727575654e-07,5.0,4.0
4404,Ex_Emx2_Pamr1,2.668352727575654e-07,5.0,4.0
24612,Ex_Evx1_Clec9a_2,8.00606510234552e-08,4.0,3.0
2656,Ex_Evx1_Clec9a_2,1.6011123267262136e-07,4.0,4.0
3679,Ex_Evx1_Evx2,1.3344280981450513e-08,3.0,2.0
1119,Ex_Evx1_Hsd17b2_1,4.44683503322212e-07,5.0,5.0
1904,Ex_Evx1_Hsd17b2_1,4.44683503322212e-07,5.0,5.0
624,Ex_Evx1_Hsd17b2_1,4.44683503322212e-07,5.0,5.0
2219,Ex_Evx1_Prkcq_3,4.003158422803956e-08,3.0,3.0
4958,Ex_Evx1_Prkcq_3,4.003158422803956e-08,3.0,3.0
2789,Ex_Evx2_Chrna2,1.6011123267262136e-07,4.0,4.0
4982,Ex_Evx2_Clec9a,4.003158422803956e-08,3.0,3.0
842,Ex_Evx2_Erfl_2,2.668352727575654e-07,4.0,5.0
3764,Ex_Evx2_Gulo,4.003158422803956e-08,3.0,3.0
4967,Ex_Evx2_Jaml,8.00606510234552e-08,3.0,4.0
2951,Ex_Evx2_Lmcd1_3,1.3344280981450513e-08,3.0,2.0
928,Ex_Evx2_Pkhd1l1,1.3343022265138534e-07,3.0,5.0
34328,Ex_Fam163a_Prdm6_3,4.003158422803956e-08,3.0,3.0
1920,Ex_Fam163a_Vip,8.00606510234552e-08,4.0,3.0
3724,Ex_Fam163a_Vip,2.6688561962901027e-08,4.0,2.0
1839,Ex_Fbxl7_Bnc2,8.00606510234552e-08,3.0,4.0
1840,Ex_Fbxl7_Bnc2,4.003158422803956e-08,3.0,3.0
4042,Ex_Fbxl7_Bnc2,4.003158422803956e-08,3.0,3.0
2507,Ex_Fezf1_Bnc2_2,4.4480936604835055e-09,2.0,2.0
407,Ex_Fezf2_C1ql2,1.3344280981450513e-08,3.0,2.0
347,Ex_Fezf2_C1qtnf7,2.6688561962901027e-08,4.0,2.0
470,Ex_Fezf2_C1qtnf7,1.6011123267262136e-07,4.0,4.0
711,Ex_Fezf2_Ccdc121,8.00606510234552e-08,4.0,3.0
1528,Ex_Fezf2_Cnksr3_C7,1.400268588628408e-06,7.0,6.0
338,Ex_Fezf2_Fn1_Mctp2,1.3344280981450513e-08,3.0,2.0
4683,Ex_Fezf2_Fn1_Mctp2,4.003158422803956e-08,3.0,3.0
422,Ex_Fezf2_Lhx9_2,2.668352727575654e-07,5.0,4.0
1103,Ex_Fezf2_Lhx9_3,1.2447614684668015e-06,5.0,8.0
348,Ex_Fibcd1_Apela_Ptpro,6.669623325249725e-07,5.0,6.0
364,Ex_Fibcd1_Apela_Ptpro,2.668352727575654e-07,5.0,4.0
5072,Ex_Fibcd1_Apela_Ptpro,4.44683503322212e-07,5.0,5.0
4923,Ex_Foxb1_Arhgef38_4,8.00606510234552e-08,3.0,4.0
2124,Ex_Foxb1_Moxd1,4.003158422803956e-08,3.0,3.0
2505,Ex_Foxb1_Shoc1,8.00606510234552e-08,3.0,4.0
3214,Ex_Gata3_Tgm6_2,1.3344280981450513e-08,2.0,3.0
3270,Ex_Gli3_Vwf,4.003158422803956e-08,3.0,3.0
4886,Ex_Gli3_Vwf,1.3343022265138534e-07,3.0,5.0
3649,Ex_Hmx2_Ppef1_4,4.003158422803956e-08,3.0,3.0
3734,Ex_Hmx2_Vip_2,2.668352727575654e-07,5.0,4.0
638,Ex_Hmx2_Vip_4,8.00606510234552e-08,3.0,4.0
3682,Ex_Hoxb5_Epsti1_1,1.3344280981450513e-08,3.0,2.0
4240,Ex_Hoxb5_Nostrin,2.0013904039551817e-07,3.0,6.0
4808,Ex_Hoxc6_Fam114a1,1.3343022265138534e-07,5.0,3.0
3820,Ex_Hoxc6_Prokr2,8.00606510234552e-08,4.0,3.0
1756,Ex_Hpgd_Cd24a_1,2.668352727575654e-07,5.0,4.0
4422,Ex_Hpgd_Cd24a_1,1.3343022265138534e-07,5.0,3.0
4553,Ex_Hpgd_Pik3c2g_2,8.00606510234552e-08,4.0,3.0
177,Ex_Hpgd_Pth2r_1,2.6130128609679163e-06,7.0,8.0
4777,Ex_Hpgd_Pth2r_3,8.00606510234552e-08,4.0,3.0
1317,Ex_Iqcj_Ms4a15_6,8.00606510234552e-08,3.0,4.0
1618,Ex_Irx2_Col2a1_3,2.668352727575654e-07,5.0,4.0
5101,Ex_Irx2_Galr1_1,6.669623325249725e-07,5.0,6.0
3864,Ex_Irx2_Proser2,8.00606510234552e-08,4.0,3.0
4921,Ex_Irx2_Proser2,1.6011123267262136e-07,4.0,4.0
1051,Ex_Irx2_Twist1_1,1.3343022265138534e-07,3.0,5.0
