Study_ID|Celltype_1,Study_ID|Celltype_2,best_AUROC,Mean_AUROC,Match_type
Zeng|2987,Macosko|Ex_Ccn3_Slc30a3_Grp,0.9905929486982358,0.9905929486982358,Reciprocal_top_hit
Zeng|432,Macosko|Ex_Crym_Cldn22,0.9722722007242358,0.9722722007242358,Reciprocal_top_hit
Zeng|648,Macosko|Ex_Crym_Csf2rb2,0.9874877001798738,0.9874877001798738,Reciprocal_top_hit
Zeng|1155,Macosko|Ex_Crym_Cxcl12,0.961260479958294,0.961260479958294,Reciprocal_top_hit
Zeng|4085,Macosko|Ex_Crym_Mndal_1,0.9956645213567936,0.9956645213567936,Reciprocal_top_hit
Zeng|2026,Macosko|Ex_Crym_Mndal_4,0.9645357844395136,0.9645357844395136,Reciprocal_top_hit
Zeng|63,Macosko|Ex_Crym_Nuak2,0.9302684883155588,0.9302684883155588,Reciprocal_top_hit
Zeng|2684,Macosko|Ex_Crym_Odad2_2,0.9239346618279408,0.9239346618279408,Reciprocal_top_hit
Zeng|4267,Macosko|Ex_Crym_Odad2_3,0.9496125273843452,0.9496125273843452,Reciprocal_top_hit
Zeng|1990,Macosko|Ex_Crym_Rgs5,0.9599932765110262,0.9599932765110262,Reciprocal_top_hit
Zeng|4868,Macosko|Ex_Dach2_Arhgap36_2,0.9836606599204694,0.9836606599204694,Reciprocal_top_hit
Zeng|4862,Macosko|Ex_Dach2_Arhgap36_3,0.9939237592789242,0.9939237592789242,Reciprocal_top_hit
Zeng|4482,Macosko|Ex_Defb1_Gsta2_2,0.9489829942576776,0.9489829942576776,Reciprocal_top_hit
Zeng|4708,Macosko|Ex_Defb1_Ldoc1_2,0.9780790392262688,0.9780790392262688,Reciprocal_top_hit
Zeng|4692,Macosko|Ex_Defb1_Wif1,0.9923719300506632,0.9923719300506632,Reciprocal_top_hit
Zeng|2203,Macosko|Ex_Dmrta2_Agtr1b_2,0.993634353274582,0.993634353274582,Reciprocal_top_hit
Zeng|2206,Macosko|Ex_Dmrta2_Arhgap36_2,0.8352295546182069,0.8352295546182069,Reciprocal_top_hit
Zeng|5150,Macosko|Ex_Dmrta2_Chrna6_5,0.9969635893009652,0.9969635893009652,Reciprocal_top_hit
Zeng|2830,Macosko|Ex_Dmrta2_Col6a6_3,0.9545638325019756,0.9545638325019756,Reciprocal_top_hit
Zeng|154,Macosko|Ex_Dmrta2_Greb1_2,0.9799636383876822,0.9799636383876822,Reciprocal_top_hit
Zeng|2108,Macosko|Ex_Dmrta2_Kcnmb1,0.9892202123605732,0.9892202123605732,Reciprocal_top_hit
Zeng|929,Macosko|Ex_Dmrta2_Lrrc31_Th,0.9212448890089554,0.9212448890089554,Reciprocal_top_hit
Zeng|1403,Macosko|Ex_Dsp_Atf3_1,0.9761407556700888,0.9761407556700888,Reciprocal_top_hit
