,highly_variable,highly_variable_rank,means,variances,variances_norm,highly_variable_nbatches
ENSMUSG00000046643,True,5939.5,6.946521958109751e-05,8.67379547846579e-05,1.0637987596838614,2
ENSMUSG00000049456,True,6961.0,3.420008255355567e-05,3.845913535508412e-05,0.9886147103387151,2
ENSMUSG00000005339,True,8404.5,1.266231430183549e-05,1.3135513066074415e-05,0.9465298589766153,2
ENSMUSG00000049605,True,6485.5,7.419879502103601e-05,9.265424474026002e-05,1.0615147944106442,2
ENSMUSG00000079180,True,10292.0,3.514679764154337e-05,3.561892410327438e-05,0.8911178148572281,2
ENSMUSG00000037872,True,10970.5,0.39856409355817185,1.0429832483477057,0.9261452343933692,2
ENSMUSG00000005338,True,7475.0,1.736528125958549,8.904404704699678,0.9546405103489641,2
ENSMUSG00000037860,True,5654.5,0.18048200105274717,0.3054083034248763,1.0549364631657558,2
ENSMUSG00000037849,True,4112.5,0.0008723979535806658,0.0014006140965521939,1.2287274032815791,2
ENSMUSG00000070501,True,4916.5,0.00013857542100419962,0.00017666152105441402,1.0884197708314451,2
ENSMUSG00000073491,True,2310.0,0.0011693114730508083,0.002608371498776168,1.639620632468695,2
ENSMUSG00000043263,True,4438.0,0.0008462449492750056,0.0013300104224311545,1.197308689541127,2
ENSMUSG00000066677,True,5230.0,0.0005488580722608692,0.0007857090495986288,1.0642702384922342,2
ENSMUSG00000073490,True,997.0,0.004449087555998197,0.02270870746089027,3.0510328039812036,2
ENSMUSG00000073489,True,2643.5,0.0036723078263042894,0.008440917568624027,1.5586688813752672,2
ENSMUSG00000090272,True,2575.0,0.020720753130786796,0.055648615175751384,1.5451146431564935,2
ENSMUSG00000026536,True,4464.0,0.0008669543418247366,0.0014387288517127787,1.2172069289700584,2
ENSMUSG00000039997,True,2711.5,0.012915205569714205,0.0352352573319528,1.53602737350155,2
ENSMUSG00000026535,True,2880.0,0.0005422310666449553,0.000990206763457957,1.4415898283569437,2
ENSMUSG00000054203,True,2480.0,0.00021916454286915262,0.00042218694610700726,1.6009477408883819,2
ENSMUSG00000045381,True,11617.5,0.00011301411362853173,0.00011394807001118482,0.8547290708777735,2
ENSMUSG00000047048,True,9561.0,1.8105926057764767e-05,1.834227917581734e-05,0.9110582513875056,2
ENSMUSG00000050134,True,6657.0,1.4200726319815504e-06,1.420070783425575e-06,0.9798997693044444,2
ENSMUSG00000049528,True,6625.5,4.2602178959446515e-06,4.496879050642962e-06,0.9842420098860114,2
ENSMUSG00000059371,True,7848.0,2.8401452639631007e-06,2.840137533638112e-06,0.943686214884866,2
ENSMUSG00000046486,True,7357.0,4.733575439938502e-06,4.970232393373231e-06,0.9785108493546179,2
ENSMUSG00000051528,True,7939.0,7.45538131790314e-06,7.692005417456668e-06,0.9501758962291345,2
ENSMUSG00000055033,True,9642.5,6.0826444403209744e-05,6.27161821446409e-05,0.901075941248314,2
ENSMUSG00000026532,True,7945.0,0.0005879100696403619,0.0007061405797250794,0.9376503191740276,2
ENSMUSG00000050788,True,8244.0,3.7868603519508012e-06,3.7868464597725614e-06,0.9358416021103668,2
ENSMUSG00000026531,True,8144.5,4.141878509946189e-06,4.141861844933986e-06,0.936316558553963,2
ENSMUSG00000066672,True,9884.5,0.00010153519318668085,0.00010460172020568877,0.9060761252036857,2
ENSMUSG00000059503,True,9602.5,1.6567514039784757e-05,1.656724151782049e-05,0.9162585743451988,2
ENSMUSG00000051509,True,13014.5,0.0006085011228040944,0.0006436327411542828,0.8328607277926596,2
ENSMUSG00000066671,True,11183.0,0.0008350027076051516,0.0009393909640170284,0.8778342590131745,2
ENSMUSG00000028354,True,13675.0,2.8104656276153004,14.818652978952313,0.8145501831503649,2
ENSMUSG00000050069,True,2799.0,0.2774849140950729,0.7105911740909668,1.4614545832898915,2
ENSMUSG00000026527,True,4401.0,6.435224570286022,106.14492598794021,1.1561568781907219,2
ENSMUSG00000026526,True,10621.0,0.25790294087574933,0.36453851312016333,0.8562801348658753,2
ENSMUSG00000039783,True,14184.5,0.03316555964115711,0.04182174590449095,0.7856494973138077,2
ENSMUSG00000026525,True,3853.0,0.07225542562416926,0.1662652507515139,1.2486655617266087,2
ENSMUSG00000078185,True,6859.0,0.11699173707071205,0.23946362960797937,1.0487909404413451,2
ENSMUSG00000026523,True,8360.0,0.004233354855323,0.006670266574499272,1.0233845532756425,2
ENSMUSG00000039748,True,14267.0,0.0058662017033297865,0.007207130577867176,0.8000213359863073,2
ENSMUSG00000104158,True,4623.0,0.00010342862336265625,0.0003031748453254554,1.9927400011950036,2
ENSMUSG00000055214,True,583.0,1.236767408197038,15.265515016597359,3.7641422510236175,2
ENSMUSG00000078184,True,18802.5,0.017871259055329818,0.020900174215861392,0.7088674285181223,2
ENSMUSG00000057335,True,15762.0,1.1324872146127367,2.739693737800678,0.7790810043587063,2
