Macosko_cluster,gene
Inh_Hoxb5_Ptpn14,Cpne4
Inh_Pax2_Col16a1,Slc13a1
Ex_Irx2_Galr1_1,Prokr2
Inh_Gata3_Mmrn1_2,Mmrn1
Ex_Lhx9_Slc6a2_1,Slc6a2
Ex_Ebf2_Mafa_2,Car8
Ex_Lhx9_Atp8b1_2,Foxp2
Inh_Sp8_Mc4r,Il1rapl2
Ex_Sox6_Calcr,Lypd6
Ex_Fibcd1_Tacr3_1,Fibcd1
Ex_Lmx1b_Cd36_1,Antxr1
Ex_Tfap2b_Defb1,Ntsr1
Inh_Lhx6_Crhbp_2,Moxd1
Ex_Pax6_Pappa2_2,Lypd1
Inh_Foxp2_Btc_4,Btc
Ex_Pitx2_Adam18,Zeb2
Ex_Phox2b_Col5a2_Pdyn,Gpc3
Inh_Pax8_Asb4_2,Pax5
Inh_Six3_Fap,Tox
Inh_Prox1_Draxin,Igfbpl1
Inh_Hmcn1_Sycp2l_6,Col6a3
Inh_Otx1_Pmfbp1_1,Met
Inh_Fbxl7_Crabp1_1,Sh2d4a
Ex_Pax6_Pgr15l_1,Nts
Ex_Ebf2_Ghrh_3,Ddo
Inh_Pax2_Prdm6_1,Klhl14
Ex_Irx2_Rai14,Rai14
Ex_Samd3_Tnfaip8_1,Stk26
CholEx_Nkx2-4_Hmcn1_1,Nkx2-4
Inh_Tfap2b_Saa1_1,Saa1
Ex_Ebf2_Il15_2,Otof
Inh_Lhx1_Egflam_4,Tpbg
Ex_Pax6_Them7,Them7
Inh_Foxa2_Ano1,Meis1
Ex_Phox2b_Olig3_3,Phox2a
Inh_Six6_Vipr2_10,Gda
Inh_Isl1_Drd1_Folh1_2,Prok2
Ex_Pax6_Otx1_3,Pax6
Ex_Onecut3_Spag16_2,Wdr95
Inh_Pax2_Sgo2b_3,Meis2
Inh_Pax5_Rab38_2,Cadps2
Inh_Pax8_Slc16a12_2,Frem3
Ex_Tcf7l2_Crym,Crym
Ex_C1ql4_Teddm3_1,Rbms1
Ex_Phox2b_Igfbpl1_5,Gm7271
Inh_Ecel1_Cd36_2,Cd36
Ex_Sim1_Otp_2,Calcr
Inh_Sall3_Ndnf_2,Pcsk6
Inh_Tbx3_Scn11a,Col25a1
Ex_Phox2b_4930469K13Rik_2,Calb1
Inh_Otx2_Myo5b_2,Prdm16
Inh_Pax7_Chrna2,Prkcq
Inh_Pax2_Oprk1,Gad1
Ex_Fam163a_Kcne4_1,Kcne4
Inh_Six3_Sall3,Foxa2
Inh_Six3_Lrrc38_1,Mfge8
Ex_Ebf2_Ddit4l_3,Mafa
Ex_Ebf2_Npffr2_2,Npffr2
Inh_Dmrt3_Mecom_2,Sapcd1
Ex_Ebf2_Grp_1,Sntb1
Ex_Lmx1b_Dynap_2,Bnc2
Inh_Gata3_Arhgap9,Naip2
Ex_Lhx2_Tlx1_3,Myo5b
Ex_Foxp2_Esp24,Esp24
Ex_Sim1_Adgb_2,Sim2
Ex_Hmx2_Abcc9_1,Col23a1
Inh_Frmd7_Stk33_1,Rasgrp1
Ex_Lhx3_Col5a2,Vegfc
Ex_Lhx2_Hgf_2,Barhl2
Inh_Gata3_Tnni3_1,Adgrg2
Inh_Lhx6_Sst_Layn,Ctsc
Inh_Pax5_Slc38a11_2,Npffr2
Ex_Dmrta2_Prkcq_4,Prkcq
Inh_Pax7_Catspere1_1,Pax3
Inh_Sox1_Sp9_2,Arhgap6
Inh_Sox2_Bves_3,Sp9
Ex_C1ql4_Slc38a11_1,Pax2
Inh_Tfap2b_Pthlh,Pthlh
Ex_Slc30a3_Gsta2_6,Gfra2
Inh_Six3_Myocd,Six3
Ex_Lhx9_Hs3st6,Hs3st6
Inh_Otx1_Dytn,Otx1
Inh_Pax2_Pkhd1l1_1,Lcp1
Inh_Pax5_Sox21_3,Pax5
Inh_Pax5_Ntrk1,Ntrk1
Ex_Evx2_Chat,Sfrp2
Inh_Gata3_Gxylt2_3,Tmem132d
Ex_Phox2b_Clca3a2,Adamts19
Inh_Pax5_Myof,Rspo1
Inh_Pax7_Bmp3_1,Bmp3
Inh_Pax2_Prdm6_2,Trim6
Ex_Pax6_Vgll3_2,Barhl1
Inh_Six3_Fezf1_1,Fezf1
Ex_Lmx1a_Ube2u_1,Ube2u
Inh_Zeb2_Crym_2,Crybg3
Ex_Ebf2_Crhr2_2,Fhod3
Inh_Gata3_Tnnt1_3,Chrdl1
Ex_Dmrta2_Csf2rb2_5,Dmrta2
Inh_Lhx6_Sst_Hpse,Syndig1
Ex_Nxph4_Twist1_2,Lmo2
Inh_Gata3_Hoxd4_Olfr48,Olfr48
Inh_Fbxl7_Hmcn1_1,Parm1
Ex_Pou4f1_Alpk1_3,Qrfprl
Inh_Ecel1_Myo1h_1,Meis2
Ex_Rorb_Rxfp2,Arhgap25
Ex_Phox2b_Six2_1,Phox2b
Ex_Lmx1a_Odad2_2,Nts
Inh_Gata3_Msx1_4,Msx1
Inh_Dmbx1_Tacr3,Dmbx1
Inh_Gata3_Sox14_3,Sox14
Inh_Pax2_Hoxb5_Sycp2l_1,Sema3e
Ependymal_Tmem212_1700012P22Rik_Sntn,Kcnj3
Ex_Lmx1b_Meox2,Prrxl1
Ex_Ebf2_Tnfaip8_2,Krt9
Ex_Hoxc6_Hpse_1,Lrrc38
Inh_Ppp1r1b_Drd2_Pax6,Adora2a
Ex_Hoxb3_Ldlrap1_14,C1qtnf3
Inh_Pax7_P2ry10b_2,P2ry10b
Inh_Gata3_Cd200r1,Irx4
Ex_Evx2_Krt19,Scube2
Inh_Pax8_Nkx6-1_4,Col24a1
Inh_Lhx6_Sst_Prok2,Prok2
Ex_Tfap2b_Ramp3_4,Plac9a
Inh_Pax2_Irak3_2,Grik3
Ex_Ccn2_Nmbr_2,Samd5
Ex_Lmx1b_Itih5_2,Fgd6
Inh_Gata3_Lrat,Sall1
Ex_Nxph4_Kynu,Dhrs1
Inh_Hoxc4_Chrdl2_4,Adgrg6
Inh_Lhx6_Serpinb1b_3,Lhx8
Inh_Six3_Dpy19l2_2,Car8
Ex_Gbx2_Wif1,Calca
Ex_Dmrta2_Csf2rb2_3,Prox1
Inh_Gata3_Antxrl,Ngfr
Ex_Tfap2b_Bmpr1b_2,Dkk2
Inh_Sncg_Edn3,Vip
Inh_Lhx6_Tspo2,Lhx6
Inh_Lhx6_Sst_Crh_Tac2,Lama4
Ex_Sim1_Pgr15l_4,Moxd1
Ex_Onecut3_Spag16_3,Col6a6
Inh_Pax3_Igfbpl1_2,Nefh
Ex_Sim1_Bsx_4,Nkx2-2
Ex_Sim1_Th_1,Trpv6
Ex_Phox2b_Hhip_2,Prok1
Ex_Pitx2_Zfp366,Qrfprl
Ex_Ebf2_Atp8b1,Prlr
Ex_Sim1_Crh_5,Nr4a2
Chol_Isl2_Gata6_3,Isl2
Inh_Lhx1_Acan,Il31ra
Ser_Fev_Wfdc12,Wfdc12
Inh_Gbx1_Htr1a_9,Gbx1
Ex_Lmx1b_Vmn1r206_3,Vmn1r206
Endo_Flt1_Ssu2_2,2200002D01Rik
Ex_Lhx2_Il31ra_2,Sntg2
Inh_Pax8_Rapsn,Mecom
Ex_Fam163a_Adad2,Tshr
Inh_Lhx6_Iqca_1,Rxfp2
Ex_Lhx2_Hgf_1,Stac
Fibro_Eya2_Rbp4_1,H2-Q1
Inh_Pax2_Trhr,Penk
Inh_Pax2_Vgll3_20,Plcl1
Inh_Vip_Crh_1,Crh
Inh_Hoxa5_Galr1_1,Arhgap15
Ex_Sall1_Pmfbp1_3,St14
Inh_Emx2_Qrfprl,Cdh3
Inh_Six3_Ush2a,Ush2a
Ex_Lmx1a_Dnaaf6b_2,Zfp804b
Ex_C1ql4_Myo18b_1,Tac1
Ex_Phox2b_Olig3_2,Rspo2
Inh_Six3_6430628N08Rik,Gstm6
Inh_Pax2_Vgll3_21,Cdh23
Ex_Vsx2_Pitx2,Pitx2
Inh_Fbxl7_Klf4,Stac
Ex_Ccn3_Fezf2_Cd36,Cd36
Inh_Gata3_Nptx2_2,Clrn1
Inh_Gata3_Sox14_1,Foxp2
Inh_Fbxl7_Adad2_2,Mecom
Inh_Frm7_Kcns3,Aox3
Inh_Htr3a_Bmp3_3,Htr3a
Inh_Sox8_Calcrl_6,Tspear
Inh_Pax2_Ctsc,Hmga2
Ex_Lhx2_Gng8_2,Uqcrb
Inh_Pax2_Ppp1r1c_1,Tmem132d
Inh_Dmbx1_Slitrk6_2,Dmbx1
Inh_Pax2_Tmem215_1,Rxfp2
Ex_Plekhg1_Fign_Tnc_1,Dsp
Ex_Slc30a3_Cfap58_Trhr,Synpr
Ex_Neurod6_Pou4f3_1,Fgf10
Inh_Nkx2-2_Gata2_3,Pcsk6
Inh_Six3_Enpep,Ankrd33b
NorEx_Phox2b_Gch1,C1ql3
Ex_Lhx9_Ripk4,Nr4a2
Ex_Plekhg1_Nox4_Anxa13_2,Gxylt2
Inh_Fbxl7_Cyp26b1,Ano1
Inh_Pax5_Slc38a11_1,Car8
Inh_Onecut3_Fbxo40,Ptpn14
Ex_Dmrta2_Col6a6_2,Nr4a2
Ex_C1ql4_Cpne7_1,Stk32a
Ex_Phox2b_Pdyn_6,Mc4r
Ex_Phox2b_Bmp3_3,Serpine2
Inh_Pax8_Sfrp1_6,Prdm16
Inh_Foxd3_Ifit3,Fibcd1
Ex_Ebf2_Sec1_4,Abcc9
Inh_Dmbx1_Tnnt1_2,Meis1
Ex_Pax5_Ucn3_1,Ucn3
Inh_Hoxb5_Sytl5_3,Kitl
Inh_Six3_Bmp3_Ano1_1,Cdh23
NorEx_Phox2b_Ppara_1,Slc6a2
Ex_Ebf2_Cox8b_1,Tox
Ex_Lmx1b_Dynap_4,Dynap
Ex_Sim1_Aox3_2,Qrfprl
Tanycyte_Rax_Fndc3c1_1,Gli3
Inh_Pde11a_Pgm5_4,Isl1
Inh_Onecut3_Wnt16,Wnt16
Inh_Pax2_Adam34,Syndig1
Ex_Prox1_Ltbp1,Myo1e
Tanycyte_Rax_Ccdc170,Rax
Ex_Pitx2_Odad2_3,Lmx1a
Inh_Lhx6_Iqca_4,Scgn
Inh_Lhx6_Esr2_12,Prps1
Fibro_Eya2_Slc47a1_3,Fndc1
Inh_Six3_Aox3_Sox2,Scn5a
Inh_Pax8_Sp9_6,Glra3
Ex_Pou4f1_Plscr5_1,Barhl1
Ex_Sulf1_Drd2,Mgp
Inh_Six3_Met_1,Hs3st2
Inh_Pax6_Pdgfd_4,Tmem132d
Inh_Irx4_Catspere1_5,Prdm16
Inh_Pax2_Erfl_8,Erfl
CholEx_Onecut2_Crabp1_1,Crabp1
Ex_Dmrta2_Slc26a7,Bnc2
Inh_Onecut3_Arsj,Pappa2
Ex_Pou4f2_Gdpd4,Trarg1
Ex_Nkx6-1_Gucy2c_2,Nell1
Inh_Pax7_A730009L09Rik,Npnt
Ex_Ebf2_Fer1l6_3,Tdrd9
Inh_Ecel1_Foxd1_2,Dlx6
Ex_Phox2_4930469K13Rik,Abi3bp
Ex_Samd3_Emx2_5,Tmem132c
Ex_Tlx1_Ednra,Col8a1
Inh_Gata3_Pdlim3_5,Tafa4
Inh_Sncg_Sln_Plch2_2,Naa11
Inh_Ppp1r1b_Drd1_Tns3_2,Grm8
Ex_Defb1_Wif1,Arg1
Ex_Hmx2_Gli3,Prdm16
Ex_Lhx9_Atp8b1_1,Irx4
Inh_Six3_Foxa2_3,Npsr1
Ex_Lhx9_Lrrk1,Adam12
Ex_Hoxb3_Ldlrap1_7,Sncg
Inh_Ppp1r1b_Drd1_Shisa8_2,Col27a1
Ex_Ebf2_Catspere1_2,Gbx1
Ex_Lmx1b_Pou4f1_Arsj_2,Chst9
Inh_Gata3_Mmrn1_1,Drd1
Inh_Pax8_Sfrp1_1,Prdm16
Inh_Pax2_Vgll3_17,Clrn1
Inh_Nkx2-2_Tspo2_2,Trh
Ex_Tfap2b_Rxfp2_5,Tll1
Ex_Slc30a3_Shisa8_7,Satb2
Inh_Pax2_Hoxb5_Rubcnl_1,Acvr1c
Ex_Nkx2-1_Pmch_2,Reln
Inh_Pax5_Serpina12,Gm17455
Ex_Ebf2_Fzd9_2,Npffr2
Ex_Ebf2_Ddit4l_2,Ddit4l
Ex_Pax5_Cdkn1c,Cdkn1c
Ex_Phox2a_Npy4r_1,Tac2
Ex_Nkx6-1_Nccrp1_2,Foxd2
Inh_Foxb1_Tacr3_2,Pappa
Ex_Ebf2_Tac2_3,Tac2
Inh_Pax3_Vmn1r207_1,Vmn1r209
Inh_Pax5_Sox1,Pvalb
Inh_Ppp1r1b_Drd2_Sphkap_3,Calcr
Inh_Sall3_Cytip_3,Chchd10
Ex_Lmx1b_Ccdc170,Prox1
Inh_Nkx2-1_Gm8113_3,Itga8
Endo_Flt1_Kcnj8_Slc47a2_1,Steap4
Ex_Tfap2d_Atp6ap1l_3,Qrfpr
Inh_Pax2_Hoxb5_Sh2d4a,C1ql3
Inh_Pax8_Nkx6-1_2,Sox6
CholEx_Onecut2_Crabp1_3,Dmbx1
Ex_Ebf2_Apela_2,Rnf43
Ex_Sox6_Sult3a2_1,Myl2
Inh_Pax8_Apbb1ip,Atp10a
Ex_Phox2b_Six2_4,Tstd1
Inh_Htr3a_Ibsp_2,Rpl10
Inh_Sall3_Ndnf_1,Pde3a
Inh_Onecut1_Mctp2,Foxp2
Inh_Pax2_Tnnt2,Pax8
Ex_Plekhg1_Pth2r_Frem3_4,Nts
Ex_Phox2b_Igfbpl1_1,Ucma
Inh_Fbxl7_Ankrd1,Clstn2
Ex_Pitx2_Wdr95,Wdr95
Inh_Gata3_Dkk1_2,Bves
Ex_Onecut3_Erfl_1,Erfl
Ex_Dmrta2_Prkcq_3,Nr4a2
Ex_Tfap2b_Chrdl1,Foxb1
Ex_Ebf2_Sec1_1,Hpse
Inh_Pax3_Vmn1r207_9,Gulo
Inh_Pax2_Erfl_3,Uncx
Inh_Frmd7_Trim55_1,Itga4
Ex_Sim1_Trh_6,Trh
Inh_Gata3_Gxylt2_2,Bmpr1b
Ex_Hgf_Tacr3,Pdlim5
Ex_Lmx1b_Aldh1a2_3,Layn
Ex_Neurod6_Bfsp2,Cobll1
Inh_Pax2_Twist2,Npnt
Inh_Pax2_Glp1r_6,Plekha7
Inh_Pax2_Vmn1r209,Rxfp2
Ex_Phox2b_Slc39a12_3,Sox6
Inh_Pax2_Lama4_2,Sphkap
Chol_Tbx20_Fst_1,Tbx20
Inh_Gbx1_Atp8b1_8,Ednra
Ex_Plekhg1_Col27a1_C1ql2_3,Pdgfd
Ex_Onecut2_Galnt14,Sox5
Inh_Vip_Drd2,Drd2
Ex_Samd3_Egflam,Samd3
Inh_Pax8_Qrfpr_3,Ntn1
Inh_Pax3_Moxd1,Onecut1
Ex_Lhx9_Mcoln2,Foxb1
Inh_Lhx1_Dach2_4,Rxfp1
Ex_Samd3_Emx2_3,Col24a1
Ex_Lmx1b_Tnnt2,Cartpt
Ex_C1ql4_Art4,Hmcn1
Ex_Ebf2_Upp1_1,Grpr
Ex_Ebf2_Sp5_5,Sertad4
Inh_Lhx1_Dach2_1,Dach2
Inh_Gbx1_Atp8b1_9,Atf7ip2
Inh_Sox8_Calcrl_10,Adora2a
Ex_Tfap2b_Piezo2_3,Calb2
Ex_Lmx1b_Tmem215,Bnc2
Inh_Pax7_Gna14_1,Pax7
Fibro_Eya2_Unc5c_2,Slc13a4
Ex_Sall1_Vmn1r196,Gulo
Ex_Crym_Mndal_2,Tslp
Fibro_Eya2_Rbp4_4,Rbfox1
Inh_Ppp1r1b_Drd1_Pde1a,Cartpt
Inh_Hoxa5_Galr1_3,Npas1
Inh_Sncg_Slc17a8,Npy
Inh_Irx4_Catspere1_4,Cpne8
Ex_Ccn2_Nmbr_4,Foxp2
Ex_C1ql4_Foxd3_1,Tafa4
Ex_Tfap2d_Hspg2,Hspg2
Ex_Sall1_Lrrc38_2,C1ql1
Ex_Ebf2_6430628N08Rik_1,Ndnf
Ex_Plekhg1_Pth2r_Slc17a8,Adamtsl3
Ex_Hmx3_Twist2_2,Mvd
Ex_Vsx2_Tspo2_2,St8sia2
Ex_Pax6_Qrfprl_1,Adam33
Inh_Pde11a_Pgm5_6,Tac2
Ex_Pitx2_Sall3,Nrgn
Ex_Ebf2_Ltbp1_3,Ltbp1
Inh_Fbxl7_Tshr,Ntf3
Inh_Lhx6_Mc3r_2,Thsd7b
Inh_Tfap2b_Col5a2_1,Dcn
Ex_Foxb1_Plekhg6,Bex1
Inh_Irx5_Shisal2b_3,Sall3
Ex_Ebf2_Iigp1_2,Sox5
Ex_Vsx2_Ctxn3_1,Ptprk
Ex_Lhx2_Tlx1_5,Il20ra
Ex_Phox2b_Tmem100,Ptprk
Ex_Neurod6_Fn1_2,Atp5e
Ex_Tfap2d_Casq2,Bmpr1b
Ex_Ebf2_4930469K13Rik_3,Sema3e
Inh_Lhx8_Pde11a_9,Lhx8
Inh_Pax2_Pgr15l,Abca4
Ex_Nkx6-1_Gucy2c_3,Slc17a8
Ex_Slc30a3_P2rx6,Cbln4
Inh_Lhx1_Pax3_3,Il31ra
Ex_Lhx9_A1bg_2,Hcrtr2
Ex_Dcn_Grik3,Adam18
Inh_Tfap2b_Shisal2b_1,Gabra2
Inh_Esr2_Tac2_2,Tac2
Inh_Gata3_Crhbp_2,Nmu
Inh_Gata3_Tll2_4,Crhbp
Ex_Dmrta2_Lhx1_4,Dmrta2
Inh_Pax8_Pkhd1l1_1,Pkhd1l1
Ex_Phox2b_Adamtsl1_Col6a2,Phox2b
Ex_Vsx2_Lhx3_1,Gpr101
Inh_Ppp1r1b_Drd1_Pkib,Cxcl14
Ex_Fezf1_Bnc2_2,Fezf1
Ex_Phox2b_Nr1h4_3,Clrn1
Inh_Gbx1_Htr1a_5,Lhx8
Ex_Fezf2_Fn1_Mctp2,Nts
Ex_Sim1_Cd34_2,Trh
Inh_Gata3_Tecrl_1,Irx4
Ex_Ebf2_Rxfp1,Mafa
Ex_Lhx9_Kif19a_2,Sema3c
Ex_Eya2_Sapcd1,Glp1r
Inh_Pax2_Olfr920_6,Sptlc3
Inh_Tfap2b_Ntrk1,Col6a6
Ex_Dmrta2_Lcp1_2,Nptx2
Inh_Lhx1_Mc4r,Nr4a2
Ex_Crym_Odad2_Fos,Hopx
Ex_Lhx9_C1ql4,Pthlh
Inh_Pax2_Cyyr1_2,Cyyr1
Inh_Frmd7_Olfr142_1,Il13ra2
Ex_Pou4f1_Htr5b_13,Cpne7
Inh_Gata3_Pmfbp1_2,Sema3c
Inh_Pax8_Agtr1a_Tacr3,Ntn1
Ex_Tfap2b_Clec12a,Defb1
Ex_Lmx1b_Deup1_5,Kcnmb2
Ex_Tfap2d_Ctsc,Pde3a
Inh_Nkx2-2_Itgb6,Nrgn
CholEx_Lmx1b_Abcc2,Abi3bp
Inh_Lhx6_Sst_Crhbp,Crhbp
Inh_Pax5_Irs4_3,Fibcd1
Inh_Ecel1_Col6a4_1,Npy2r
Ex_Lmx1b_Vmn1r196,Vmn1r196
Inh_Six3_Sox2_12,Cbln4
Inh_Otx1_Acacb_2,Nwd2
Inh_Lhx1_Emx2_1,Mecom
Inh_Sp8_Spp1_2,Meis2
Ex_Lhx3_Tlcd1_1,Lhx3
Inh_Lhx8_Pde11a_1,Fam20a
Ex_Skor1_Samd3_1,Samd3
Ex_Phox2b_Ghrh_2,Erfl
Ex_Onecut3_Pirt_1,Il15
Ex_Pitx1_Moxd1,Moxd1
Inh_Nkx2-2_Sox14_2,Ndnf
Inh_Lhx6_Cxcr4_3,Nr2e1
Chol_Tbx20_S100a11_4,Npffr2
Ex_Lmx1a_Csf2rb2_1,Sult5a1
Inh_Otx2_Ntrk1_2,Penk
Inh_Gata3_Olfr48_6,Tecrl
Ex_Vsx2_Erfl,Shox2
Ex_Pou4f2_Sult3a2_3,Npas1
Inh_Otx2_Ntrk1_1,Ntrk1
Inh_Gata3_Wnt16_1,Pde11a
Inh_Pax2_Vgll3_13,Npas1
SerEx_Nkx6-1_Trh_4,Slc6a4
Ex_Lmx1b_Adam33_2,Meis2
Ex_Fezf2_Il22,Pou3f1
Ex_Plekhg1_Nox4_Ltbp1,Slco1a5
Ex_Ebf3_Adam33_3,Tox
Ex_Lhx9_Dnah5,Prdm6
Inh_Gata3_Gdpd2_1,Tafa4
Inh_Six3_Fgf16,Fgf16
Inh_Pax3_Chrna5_2,Otogl
Ex_Irx3_Ccdc192_6,Il1rapl2
Ex_Vsx2_Lhx3_3,Gpr101
Ex_Tfap2b_Gsta2_1,Gsta2
Inh_Zeb2_Clec10a,Clrn1
Inh_Lhx8_Arhgef38_6,Gli3
NorEx_Phox2b_Gfral_4,Gfral
Ex_Tfap2b_Ramp3_2,Ramp3
Ex_C1ql4_Tnnt2,Kcnmb2
Ex_Sim1_Aox3_1,Reln
Ex_Nxph4_Crh,Nr2f2
Inh_Pax8_Vmn1r196,Irs4
Ex_Slc30a3_Ssmem1_2,Ssmem1
Ex_Sim1_Ndnf_1,Col11a1
Ex_Ebf2_Ddit4l_1,Hmga2
Inh_Foxp2_Pdlim3_1,Col12a1
Ex_Tfap2d_Mab21l2_1,Gm45194
Ex_Tcf7l2_Fbln1_Tead4_1,Pparg
Ex_Ebf2_Ifi213_3,Dscaml1
Ex_Crym_Prrx1,Csf2rb2
Ex_Lhx9_Runx1,Plpp4
Inh_Six3_Pnliprp2_3,Mamdc2
Ex_Nkx6-1_Gucy2c_4,Foxd2
Inh_Gata3_Sall1_3,Cd24a
Inh_Lmo2_Chrna2_2,Chrna2
Inh_Pax8_Ptgfr,Cyp26b1
Inh_Pax2_Sycp2l_1,Col6a1
DopEx_Calb1_Ngf,Chrna6
Ex_Nkx6-1_Pax8_2,Postn
Ex_Pou4f1_Htr5b_2,Col24a1
Ex_Tlr4_Foxd2,Sim1
Inh_Htr3a_Prok2,Prok2
Ex_Dmrta2_Agtr1b_3,Hhip
Inh_Vip_Glp1r_Egfr,Rxfp1
Ex_Phox2b_Ddit4l,Foxp2
Ex_Hoxb5_Nostrin,Ndnf
Ex_Dsp_Atf3_2,Cenpa
Inh_Pax5_Irak3,Rspo3
Ex_Rorb_Scn5a,Tshz2
Inh_Hoxb5_Qrfpr_3,Sytl5
Inh_Six3_Svs5,Svs5
Inh_Pax2_Lpl_1,Hrob
Inh_Esr2_Pgm5,Ecel1
Inh_Ppp1r1b_Drd2_Cyp26b1_1,Slc4a4
Inh_Pax5_Irs4_4,Otx1
Ex_Pax6_Avpr1a_1,Ebf2
Inh_Six3_Pamr1_1,Penk
Inh_Gata3_Gm11639_2,Slc6a5
Inh_Lhx6_Esr2_10,Lhx6
Ex_Tcf7l2_Nox4_Slc17a8,Pou3f2
Ex_Ebf2_Fbln1,Pde11a
Ex_C1ql4_Islr2_1,Calcr
Ex_Vsx2_Wnt2,Tns1
Ex_Sox6_Plscr5_1,Nr5a2
Ex_Ebf2_Ghrh_1,Penk
Ex_Emx2_Foxa2_1,Pou4f1
Ex_Nkx6-1_Foxd3_1,Foxd3
Inh_Otx1_Maf_2,Fmo1
Ex_Tfap2b_Sult3a2_3,Dgkq
Inh_Pax5_Vwa7_2,Zeb2
Inh_Six3_Gchfr_1,Sox14
Ex_Lmx1a_Olfm4_3,Lmx1a
Ex_Ebf2_Pla2g5_11,Rxfp1
Inh_Pax5_Pdpn,Sox14
Chol_Tbx20_Gm7694_1,Irx1
Inh_Sall3_Bmper_2,Dock5
Ex_C1ql4_Crispld2_1,C1ql4
Ex_Plekhg1_Col27a1_Egflam_1,Klhl14
Ex_Nkx2-4_Cdkn1c_2,Rap2b
Ex_Nkx2-4_Fezf2,Palld
Ex_Dmrta2_Gm7271,Dmrta2
Ex_Hmx2_Vip_1,Hmx2
Inh_Lhx8_Pde11a_12,Nmu
Ex_Phox2b_Tlx1_2,Lama4
Inh_Gata3_Aldh1a2,Ebf2
Inh_Foxp2_Drd3_1,Bhlhe22
Ex_Fezf2_Slc9a4,Arhgap25
Ex_Dmrta2_Col6a6,Itm2a
Ex_Phox2b_Shisa3,Phox2b
Ex_Phox2b_Dbh_1,Dbh
Ex_Foxb1_Arhgef38_1,Mctp2
Inh_Tfap2b_Erfl_1,Erfl
Inh_Frmd7_Mgam,C1ql1
Inh_Vip_Sncg_Slit1,Vip
Inh_Ppp1r1b_Drd2_Stard8_4,Phactr2
Ependymal_Tmem212_Ttr,Ccdc68
Inh_Hoxc4_Chrdl2_6,Ano1
Inh_Etv3l_Sulf1_1,Mecom
Inh_Lhx1_Emx2_3,Mecom
Ex_Plekhg1_Fign_Ppp1r3a_6,Ttr
Inh_Pax5_Pgr15l_2,Sdk1
Inh_Ecel1_Cd36_1,Cd36
Inh_Pax2_Gm21188,Cd209g
Inh_Htr3a_Tcim_2,Cobll1
Ex_Dmrta2_Col5a2_1,Arhgap6
Inh_Lhx6_Th_Crh,Crh
Inh_Pax5_Cdh23_Ikzf1,Sema3a
Inh_Pax6_Pou6f2_Pdgfd_2,Pax6
Inh_Sox6_Postn_3,Bmpr1b
Inh_Lhx1_Vsir_4,Adra1a
Inh_Lhx6_Esr2_11,Esr2
Inh_Six3_Nkx2-2,Kcng4
Ex_Vsx2_Pgr15l,Pgr15l
Inh_Six3_Ano1_1,Calcb
Inh_Ebf2_Cox8b_1,Lmod3
Ex_Lmx1a_Tinag,Nrgn
Ex_Pax5_Npbwr1,Pax5
Ex_Tfap2b_Ghrh_1,Hmcn1
Inh_Gata3_Crhbp_3,C1qtnf7
Inh_Gata3_Sall1_9,Rab3b
Ex_Phox2b_Cyp39a1_Mdfic2_4,Phox2b
Inh_Pax2_Mboat1_1,Asb4
Ex_Hoxc6_Epsti1_1,Barhl2
Ex_Ebf2_Tnfaip8_5,Pthlh
Ex_Pitx2_Skor2,Esm1
Ex_Hoxb5_Epsti1_1,Megf11
Inh_Pax7_Vmn1r207_6,Crisp1
Ex_Ebf2_Mafa_1,Tnfaip8l3
Inh_Pax8_Pkhd1l1_7,Aldh1a7
Inh_Nkx2-2_Gm16223_2,Dach2
Inh_Onecut3_Aass_1,Myh15
Ex_Lhx9_Slc6a2_2,Slc6a2
Inh_Pax2_Erfl_7,Pitx2
Inh_Six6_Vipr2_8,Gm45194
Ex_Lmx1a_Pirt,Lmx1a
Inh_Pax2_Nkx6-1_Bmp4,Bmp4
Inh_Sp8_Spp1_4,Gpr101
Ex_Fezf2_Rgs16,Tmem215
Inh_Pax7_P2ry10b_5,Postn
Ex_Tfap2d_Emid1_1,Hmcn1
Inh_Frmd7_Esr2_3,Htr5b
Ex_Pou4f1_Plscr5_3,Il1rapl2
NG_Draxin_10,Thrsp
Inh_Pax5_Pgr15l_1,Pax5
Inh_Six3_Cd40,Crhbp
DopEx_Calb1_Trpv1,Rprm
Ex_Fev_Kif18b,Kif18b
Inh_Lmo2_Chrna2_1,Zfp352
Ex_Lmx1b_Arsj_2,Itih5
Inh_Lhx1_Egln3,Penk
CholEx_Pax2_Muc16,Lama1
Inh_Pax2_Glipr2,Lama4
Ex_Pax6_Slc5a7_2,Lamp5
Inh_Foxd3_Bnc2_1,Slc6a5
Inh_Pax2_A730046J19Rik_1,Trh
Ex_Sim1_Serpina3i,Rxfp2
Ex_Pou4f1_Htr5b_8,Abi3bp
Ex_Lmx1b_Wif1,Wif1
Inh_Clic4_Ano3_3,Six3
Inh_Pax2_Fst_1,Prox1
Ex_Lhx4_Plcz1,Cnpy1
Inh_Exd1_Arhgap9_2,Lcp1
Ex_Slc12a7_Odad1_1,Samd3
Inh_Hoxa5_Bfsp2_2,Reln
Inh_Pax6_Pou6f2_Pdgfd_5,Slc32a1
Inh_Gata3_Nkx2-2_1,Myo3a
Ex_Pou4f3_Defb1_1,Kcns3
Ex_Irx2_Nppc_3,Prkcq
