Macosko_cluster,gene
Inh_Gata3_Tecrl,Cpa6
Inh_Pax5_Cckar,Cckar
Ex_Lhx2_Nek11_3,Nckap5
Inh_Lhx1_Pax3_1,Pax3
Ex_Vsx2_Tnnt1_3,Lhx4
Inh_Six3_Ccdc68_2,Fgf16
Ex_Nkx2-1_Otp_3,Th
Inh_Irx5_Plscr5,Pde5a
Ex_Sim1_Dnah8_Oxt,Oxt
Inh_Lhx1_Emx2_2,Pde1a
Inh_Esr2_Tac2_1,Ecel1
Ex_Pax6_Avpr1a_6,C1ql2
Ex_Otx2_Sapcd1,Erbb4
Ex_Fezf2_Col6a1_Gp139_Fos,Tnfaip6
Ex_Hmx3_Gda,Pde1a
Inh_Nkx2-2_Cpa6_2,Tal1
Inh_Foxp2_Foxd3_5,Rgs4
Inh_Fbxl7_Crabp1_2,Hk2
Inh_Hoxb7_Crym_2,Ucma
Fibro_Eya2_Obp1a,Obp1a
Inh_Sp8_Ctsc_1,Ndnf
Inh_Dlx1_Grhl3,Dlx1
Inh_Lhx6_Esr2_13,Cyp19a1
Ex_Lhx3_Robo3,Slitrk6
Ex_C1ql4_Calcr_4,Tshz2
Ex_Pou4f2_Sult3a2_2,Lypd1
Inh_Gata3_Ucn3,Adgrd1
Ex_Tcf7l2_Fbln1_St14,Cpa6
Ex_Lmx1b_Nms_2,Bnc2
Ex_Hpgd_Pth2r_6,En1
Inh_Lmo7_Fbln1_3,Prox1
Ex_Ebf2_Grp_2,Otof
Ex_Lmx1a_Scart2_2,Pthlh
Ex_Dmrta2_Prkcq_6,Lmx1a
Inh_Lhx6_Sst_Crh_Shisa9,Pla2g4a
Inh_Six3_Fgf17_2,Gabrq
Ex_Phox2b_Tac2_1,Dkkl1
Inh_Sncg_Sln_Plch2_1,Calb1
Inh_Frm7_Atp1b4,Il1rapl2
Ex_Onecut3_Frem3_4,Npffr2
Ex_C1ql4_Islr2_4,Lemd1
Inh_Pax2_Satb2_1,Satb2
Inh_Pax2_Fmod_2,Fmod
Ex_Slc30a3_Ntn5_1,Prox1
Inh_Pax2_Has2_1,Trabd2b
Inh_Foxp2_Tmem233_1,Tmem233
Inh_Six3_Ofcc1_2,Slc6a5
Fibro_Vdr_Mmp13_1,Lvrn
Inh_Nkx2-1_Sytl4_2,Pcdh11x
Ex_Lhx3_Slc5a7_3,Lhx3
Ex_Vsx2_Tecta_1,Col19a1
Inh_Pax2_Ano1,Ano1
Ex_Evx2_Gulo,C1ql2
Ex_Evx2_Prdm6_3,Kcnq4
Ex_Ebf2_Pla2g5_4,Folh1
Inh_Sall3_Ecrg4,Sulf1
Inh_Six3_Dact1_1,Cpa6
Ex_Pou4f2_Sult3a2_8,Arhgap36
Inh_Six3_Colq_1,0610040J01Rik
Inh_Sp8_Grhl3,Prdm12
Ex_Vsx2_Tnnt1_4,St18
Inh_Nkx6-1_Ikzf1,Adamtsl2
Ex_Dsp_Atf3_3,Kcnj2
Ex_Plekhg1_Epha1_Slc17a8_2,Arhgef5
Ex_Nxph4_Pmfbp1,Foxp2
Ex_Lmx1a_Irx6_1,Cpa6
Inh_Frmd7_Ano2_2,Cpa6
Inh_Lhx6_Car8_8,Frem1
Ex_Phox2b_Tlx1_1,Bhlhe22
Ex_Tfap2b_Bmpr1b_1,Myo1b
Ex_Lhx9_Pthlh_1,Erbb4
Astro_Emid1_Gdf10,Lgr6
Inh_Lhx8_Th_2,Postn
Ex_Pax2_Crabp1,Gulp1
Inh_Pax2_Tnc,Pde1a
Ex_Tfap2d_Sema3d_4,Glipr1
Inh_Onecut3_Srpx2,Zeb2
Ex_Irx2_Col2a1_2,Gpc3
Ex_Phox2b_Adam33_2,Nrp2
Ex_Lmx1b_Krt9_2,Shox2
Ex_Skor1_Kdr_2,Lef1
Inh_Pax7_Rxfp3_3,Hmcn1
Ex_Pax2_Nr5a2_1,Nr5a2
Ex_Lmx1b_Deup1_3,Bhlhe22
Inh_Pax2_Dmrt3_7,Nts
Inh_Onecut3_Lsp1_2,Svs5
Inh_Lhx6_Moxd1_2,Lhx6
Inh_Irx5_Shisal2b_2,Lypd1
Ex_Sim1_Nkx2-2_1,Myo3b
Ex_Dmrta2_Lhx1_2,C1ql3
Inh_Hoxb5_Gpnmb,Nr5a2
Ex_Vsx2_Glyat_2,Calcr
Inh_Otx2_Gsc2_1,Apela
Inh_Pax2_Olfr920_4,Nppc
NorEx_Phox2b_Myom3,Ackr3
Inh_Nkx2-2_Trh,Trh
Inh_Nkx2-1_Serpinb2,Tafa4
Ex_Lhx9_6430628N08Rik,Pax5
Ex_Lmx1b_Cd36_3,C1ql2
NG_Myoz1_6,Mctp2
Inh_Irx5_Tafa4_1,Tac1
Ex_Irx4_Slc17a8,Cd24a
Inh_Onecut3_Uts2b_2,Gulp1
Ex_Tfap2b_Tac2,Tfap2b
Ex_C1ql4_Gucy2c,Tfap2b
Inh_Skor2_Emx1_4,Gata3
Ex_Irx2_Twist1_6,Trh
Ex_Pax6_Zic5,A2ml1
Ex_Pax6_Avpr1a_2,C1ql2
Inh_Pax5_Il20ra,Cdh23
Inh_Six3_Agtr2,Cdh23
Inh_Dmbx1_Rubcnl,Dmbx1
Inh_Nkx2-1_Sst_1,Lhx8
Ex_Irx2_Nppc_2,Prkcq
Inh_Nkx2-2_Vwa7,Cpa6
Inh_Hoxb5_Esr2_2,Npnt
Inh_Lhx6_Sst_Npffr1_Pcsk6,Zfp804b
Inh_Pax8_A830031A19Rik_1,Pax8
Inh_Lhx1_Adamts5,Zeb2
Inh_Pax5_Clic5_2,P2ry1
Ex_Pou4f1_Plscr5_7,Thsd7b
Inh_Six3_Ikzf1_2,Myo1b
Inh_Pax2_Hmga2_2,Xirp2
Ex_C1ql4_Slc25a21,Gli2
Inh_Lhx6_Sfrp1_5,Crhr2
Ex_C1ql4_Kcne4_4,Tafa3
Ex_Ebf2_Nmu_3,C1ql3
Ex_Sim1_Dlk1_2,Sim1
Ex_Ebf2_Nat8f6_2,Rxfp1
Inh_Nkx2-2_Ppp1r17,Lhx6
Ex_Lhx4_Gpr101_2,Bmpr1b
Inh_Onecut3_Esr2_1,Mecom
Inh_Vip_Trim55_3,Cntn4
Ex_C1ql4_Calcr_1,Asb4
Ex_Nkx2-4_Grpr_5,Mbnl3
Ex_Irx4_Tafa3,Slc13a3
Inh_Pax2_Glp1r_2,Erbb4
Ex_Nkx2-1_Otp_2,Cox5b
Ex_Ebf2_Nr1h4,Mybpc1
Inh_Six3_Ano1_3,Il1rapl2
Inh_Foxl3_Fam83b,Mecom
DopEx_Calb1_Npw_2,Npw
Inh_Onecut3_Tcf24_2,Tcf24
Ex_C1ql4_Cpne7_3,Vwa5b1
Inh_Nrk_Gpr176_1,Col4a6
Ex_Phox2b_Olig3_7,Olig3
Inh_Otx1_Svs5_1,Dnah14
Inh_Gata3_Col16a1_2,Il7
Inh_Lhx6_Sst_Etv1_Ldb2,Rassf10
Ex_Vsx2_Drd3_1,A830018L16Rik
Ex_Fezf2_Fibcd1_Fos_Tnn,Sgk3
Inh_Gbx1_Htr1a_3,Nr4a2
Inh_Pax2_Creb3l3_2,Sphkap
Oligo_Klk6_2,Cga
Oligo_Opalin_Enpp6_2,Klk6
Ex_Prox1_Npy,C1ql2
Inh_Pax2_Hmcn1,Hmcn1
Ex_Ebf2_Grp,Mecom
Inh_Dmbx1_Sox2_2,Pax3
Ex_Sim1_Trh_5,Col5a2
Ex_Vsx2_C1ql2_1,Cdh20
