region_remap,Dataset,recip_hit_FALSE,recip_hit_TRUE,total_cells_in_region,percent_recip,dataset_recip_hit_TRUE,dataset_recip_hit_FALSE,dataset_total_cells,dataset_prop_recip,p_enriched,p_depleted,difference_from_dataset_average
S1,Macosko,6911,41571,48482,0.8574522503197063,3042616,933364,3975980,0.765249322179689,0,1,0.09220292814001729
S1,Zeng,52724,23131,75855,0.30493705095247514,1660845,1559228,3220073,0.5157786795516748,1,0,-0.21084162859919964
STRd,Macosko,4402,41410,45812,0.9039116388719113,3042616,933364,3975980,0.765249322179689,0,1,0.1386623166922223
STRd,Zeng,24048,31578,55626,0.5676841764642433,1660845,1559228,3220073,0.5157786795516748,1.3743805059335597e-135,1,0.051905496912568516
SUB,Macosko,6616,21197,27813,0.7621256247078704,3042616,933364,3975980,0.765249322179689,0.8924869002625272,0.1101541650595729,-0.0031236974718186206
SUB,Zeng,49997,52044,102041,0.5100302819454925,1660845,1559228,3220073,0.5157786795516748,0.9999068125418556,9.557344028578789e-5,-0.005748397606182287
TH,Macosko,117583,309623,427206,0.7247627608226476,3042616,933364,3975980,0.765249322179689,1,0,-0.04048656135704143
TH,Zeng,140753,120293,261046,0.46081150448579944,1660845,1559228,3220073,0.5157786795516748,1,0,-0.05496717506587534
VIS,Macosko,11072,38484,49556,0.7765759948341271,3042616,933364,3975980,0.765249322179689,9.055442853866405e-10,0.9999999991528306,0.011326672654438097
VIS,Zeng,148674,112416,261090,0.4305641732735838,1660845,1559228,3220073,0.5157786795516748,1,0,-0.08521450627809096
VISP,Macosko,12394,49694,62088,0.8003801056564875,3042616,933364,3975980,0.765249322179689,5.39886925066621e-100,1,0.035130783476798544
VISP,Zeng,22886,37948,60834,0.6237959036065358,1660845,1559228,3220073,0.5157786795516748,0,1,0.10801722405486103
ACA,Combined,81898,140207,222105,0.6312644920195403,4703461,2492592,7196053,0.6536167813105324,1,2.9404090023827582e-111,-0.02235228929099209
AUD,Combined,60758,139261,200019,0.6962388573085557,4703461,2492592,7196053,0.6536167813105324,0,1,0.04262207599802337
BS,Combined,395161,608475,1003636,0.6062706000980436,4703461,2492592,7196053,0.6536167813105324,1,0,-0.04734618121248879
CB,Combined,22526,725770,748296,0.9698969391791483,4703461,2492592,7196053,0.6536167813105324,0,1,0.31628015786861596
ENT,Combined,111489,191625,303114,0.6321878897048635,4703461,2492592,7196053,0.6536167813105324,1,1.194082946822202e-140,-0.021428891605668854
HPF,Combined,58919,268744,327663,0.8201841526202226,4703461,2492592,7196053,0.6536167813105324,0,1,0.16656737130969024
HY,Combined,215354,156427,371781,0.4207503879972349,4703461,2492592,7196053,0.6536167813105324,1,0,-0.23286639331329745
LSX,Combined,47263,42839,90102,0.4754500455039844,4703461,2492592,7196053,0.6536167813105324,1,0,-0.17816673580654796
MB,Combined,362376,700973,1063349,0.6592125445173692,4703461,2492592,7196053,0.6536167813105324,8.599741302920218e-40,1,0.005595763206836857
MOp,Combined,179630,232849,412479,0.5645111629925402,4703461,2492592,7196053,0.6536167813105324,1,0,-0.08910561831799213
OLF,Combined,180394,280672,461066,0.6087458194705313,4703461,2492592,7196053,0.6536167813105324,1,0,-0.044870961840001056
PAL,Combined,107273,148709,255982,0.5809353782687845,4703461,2492592,7196053,0.6536167813105324,1,0,-0.07268140304174786
RSP,Combined,71491,187521,259012,0.7239857612774697,4703461,2492592,7196053,0.6536167813105324,0,1,0.07036897996693736
S1,Combined,59635,64702,124337,0.52037607470021,4703461,2492592,7196053,0.6536167813105324,1,0,-0.1332407066103224
STRd,Combined,28450,72988,101438,0.719533113823222,4703461,2492592,7196053,0.6536167813105324,0,1,0.06591633251268969
SUB,Combined,56613,73241,129854,0.5640257519983982,4703461,2492592,7196053,0.6536167813105324,1,0,-0.08959102931213414
TH,Combined,258336,429916,688252,0.6246491110814062,4703461,2492592,7196053,0.6536167813105324,1,0,-0.028967670229126163
VIS,Combined,159746,150900,310646,0.48576192836862536,4703461,2492592,7196053,0.6536167813105324,1,0,-0.167854852941907
