library	region	sub_region	sub_region_tube_id	donor_id	sex	dissectate	brain_struct
pBICCNsMMrTHT6iF019d210409A2	TH	T6	T6	F019	female	TH_T6_T6	TH
pBICCNsMMrTHT6iF016d210330A1	TH	T6	T6	F016	female	TH_T6_T6	TH
pBICCNsMMrTHT6iF016d210330A2	TH	T6	T6	F016	female	TH_T6_T6	TH
pBICCNsMMrTHT6iF016d210330A3	TH	T6	T6	F016	female	TH_T6_T6	TH
pBICCNsMMrTHT7iM013d210329A1	TH	T7	T7	M013	male	TH_T7_T7	TH
pBICCNsMMrTHT7iM013d210329A2	TH	T7	T7	M013	male	TH_T7_T7	TH
pBICCNsMMrTHT7iM013d210329A3	TH	T7	T7	M013	male	TH_T7_T7	TH
pBICCNsMMrTHT7iM018d210330A1	TH	T7	T7	M018	male	TH_T7_T7	TH
pBICCNsMMrTHT7iM018d210330A2	TH	T7	T7	M018	male	TH_T7_T7	TH
pBICCNsMMrTHT7iF016d210330A1	TH	T7	T7	F016	female	TH_T7_T7	TH
pBICCNsMMrTHT7iF016d210330A2	TH	T7	T7	F016	female	TH_T7_T7	TH
pBICCNsMMrTHT7iF016d210330A3	TH	T7	T7	F016	female	TH_T7_T7	TH
pBICCNsMMrTHT8iM013d210329A1	TH	T8	T8	M013	male	TH_T8_T8	TH
pBICCNsMMrTHT8iM013d210329A2	TH	T8	T8	M013	male	TH_T8_T8	TH
pBICCNsMMrTHT8iM018d210330A1	TH	T8	T8	M018	male	TH_T8_T8	TH
pBICCNsMMrTHT8iM018d210330A2	TH	T8	T8	M018	male	TH_T8_T8	TH
pBICCNsMMrTHT8iF019d210409A1	TH	T8	T8	F019	female	TH_T8_T8	TH
pBICCNsMMrTHT8iF019d210409A2	TH	T8	T8	F019	female	TH_T8_T8	TH
pBICCNsMMrTHT8iF016d210330A1	TH	T8	T8	F016	female	TH_T8_T8	TH
pBICCNsMMrTHT8iF016d210330A2	TH	T8	T8	F016	female	TH_T8_T8	TH
pBICCNsMMrTHT8iF016d210330A3	TH	T8	T8	F016	female	TH_T8_T8	TH
pBICCNsMMrPALmTRSiF015d210126	PALm	TRSSF	TRS	F015	female	PALm_TRSSF_TRSSF	PAL
pBICCNsMMrPALmTRSSFiM016d210128	PALm	TRSSF	TRSSF	M016	male	PALm_TRSSF_TRSSF	PAL
pBICCNsMMrPALmTRSSFiM017d210203	PALm	TRSSF	TRSSF	M017	male	PALm_TRSSF_TRSSF	PAL
pBICCNsMMrPALmTRSSFiM015d210204	PALm	TRSSF	TRSSF	M015	male	PALm_TRSSF_TRSSF	PAL
pBICCNsMMrPALmTRSSFiF017d210209	PALm	TRSSF	TRSSF	F017	female	PALm_TRSSF_TRSSF	PAL
pBICCNsMMrPALmTRSSFiF014d210211	PALm	TRSSF	TRSSF	F014	female	PALm_TRSSF_TRSSF	PAL
pBICCNsMMrCBViM002d190312a	CB	V	V	M002	male	CB_V_V	CB
pBICCNsMMrCBViM002d190312b	CB	V	V	M002	male	CB_V_V	CB
pBICCNsMMrCBViM002d190312c	CB	V	V	M002	male	CB_V_V	CB
pBICCNsMMrCBViM002d190312d	CB	V	V	M002	male	CB_V_V	CB
pBICCNsMMrCBVliM006d190124	CB	VI	VI	M006	male	CB_VI_VI	CB
pBICCNsMMrCBVIiM002d190312a	CB	VI	VI	M002	male	CB_VI_VI	CB
pBICCNsMMrCBVIiM002d190312b	CB	VI	VI	M002	male	CB_VI_VI	CB
pBICCNsMMrCBVIiM002d190312c	CB	VI	VI	M002	male	CB_VI_VI	CB
pBICCNsMMrCBVIiM002d190312d	CB	VI	VI	M002	male	CB_VI_VI	CB
pBICCNsMMrCBVIiM002d190312e	CB	VI	VI	M002	male	CB_VI_VI	CB
pBICCNsMMrCBVIiM006d190321a	CB	VI	VI	M006	male	CB_VI_VI	CB
pBICCNsMMrCBVIiM006d190321b	CB	VI	VI	M006	male	CB_VI_VI	CB
pBICCNsMMrCBVIiM006d190321c	CB	VI	VI	M006	male	CB_VI_VI	CB
pBICCNsMMrCBVIiF001d190116	CB	VI	VI	F001	female	CB_VI_VI	CB
pBICCNsMMrCBVIIiM002d190312a	CB	VII	VII	M002	male	CB_VII_VII	CB
pBICCNsMMrCBVIIiM002d190312b	CB	VII	VII	M002	male	CB_VII_VII	CB
pBICCNsMMrCBVIIiM002d190312c	CB	VII	VII	M002	male	CB_VII_VII	CB
pBICCNsMMrCBVIIiM002d190312d	CB	VII	VII	M002	male	CB_VII_VII	CB
pBICCNsMMrCBVIIiF002d190304a	CB	VII	VII	F002	female	CB_VII_VII	CB
pBICCNsMMrCBVIIiF002d190304b	CB	VII	VII	F002	female	CB_VII_VII	CB
pBICCNsMMrCBVIIiM006d190313a	CB	VII	VII	M006	male	CB_VII_VII	CB
pBICCNsMMrCBVIIiM006d190313b	CB	VII	VII	M006	male	CB_VII_VII	CB
pBICCNsMMrCBVIIIiF002d190304a	CB	VIII	VIII	F002	female	CB_VIII_VIII	CB
pBICCNsMMrCBVIIIiF002d190304b	CB	VIII	VIII	F002	female	CB_VIII_VIII	CB
pBICCNsMMrCBVIIIiF002d190304c	CB	VIII	VIII	F002	female	CB_VIII_VIII	CB
pBICCNsMMrCBVIIIiF002d190304d	CB	VIII	VIII	F002	female	CB_VIII_VIII	CB
pBICCNsMMrCBVIIIiM006d190313	CB	VIII	VIII	M006	male	CB_VIII_VIII	CB
pBICCNsMMrCBVIIIiM001d190108a	CB	VIII	VIII	M001	male	CB_VIII_VIII	CB
pBICCNsMMrCBVIIIiM001d190108b	CB	VIII	VIII	M001	male	CB_VIII_VIII	CB
pBICCNsMMrVISiF022d210719A1	VIS	VIS	VIS	F022	female	VIS_VIS_VIS	Isocortex
pBICCNsMMrVISiF022d210719A2	VIS	VIS	VIS	F022	female	VIS_VIS_VIS	Isocortex
pBICCNsMMrVISiF022d210719A3	VIS	VIS	VIS	F022	female	VIS_VIS_VIS	Isocortex
pBICCNsMMrVISiM022d210719B1	VIS	VIS	VIS	M022	male	VIS_VIS_VIS	Isocortex
pBICCNsMMrVISiM022d210719B2	VIS	VIS	VIS	M022	male	VIS_VIS_VIS	Isocortex
pBICCNsMMrVISiM022d210719B3	VIS	VIS	VIS	M022	male	VIS_VIS_VIS	Isocortex
pBICCNsMMrVISPiM019d210623A1	VISP	VISP	VISP	M019	male	VIS_VIS_VIS	Isocortex
pBICCNsMMrVISPiM019d210623A2	VISP	VISP	VISP	M019	male	VIS_VIS_VIS	Isocortex
pBICCNsMMrVISPiM019d210623A3	VISP	VISP	VISP	M019	male	VIS_VIS_VIS	Isocortex
pBICCNsMMrVISPiF019d210623B1	VISP	VISP	VISP	F019	female	VIS_VIS_VIS	Isocortex
pBICCNsMMrVISPiF019d210623B2	VISP	VISP	VISP	F019	female	VIS_VIS_VIS	Isocortex
pBICCNsMMrVISPiF019d210623B3	VISP	VISP	VISP	F019	female	VIS_VIS_VIS	Isocortex
pBICCNsMMrCBXiM006d190313a	CB	X	X	M006	male	CB_X_X	CB
pBICCNsMMrCBXiF001d190115a	CB	X	X	F001	female	CB_X_X	CB
pBICCNsMMrCBXiF001d190115b	CB	X	X	F001	female	CB_X_X	CB
pBICCNsMMrBNSTi1F1d190111	BNST			1F1	female	BNST	PAL
pBICCNsMMrBNSTi1F3d190119a	BNST			1F3	female	BNST	PAL
pBICCNsMMrBNSTi1F3d190119b	BNST			1F3	female	BNST	PAL
pBICCNsMMrBNSTi1F3d190119c	BNST			1F3	female	BNST	PAL
pBICCNsMMrBNSTi1F5d190111a	BNST			1F5	female	BNST	PAL
pBICCNsMMrBNSTi1F5d190111b	BNST			1F5	female	BNST	PAL
pBICCNsMMrBNSTi1F6d190111a	BNST			1F6	female	BNST	PAL
pBICCNsMMrBNSTi1F6d190111b	BNST			1F6	female	BNST	PAL
pBICCNsMMrBNSTi2F2d190119	BNST			2F2	female	BNST	PAL
pBICCNsMMrBNSTi3F7d190119a	BNST			3F7	female	BNST	PAL
pBICCNsMMrBNSTi3F7d190119b	BNST			3F7	female	BNST	PAL
pBICCNsMMrBNSTi3F7d190119c	BNST			3F7	female	BNST	PAL
pBICCNsMMrBNSTi3F8d190119	BNST			3F8	female	BNST	PAL
pBICCNsMMrBNSTi1M1d190111a	BNST			1M1	male	BNST	PAL
pBICCNsMMrBNSTi1M1d190111b	BNST			1M1	male	BNST	PAL
pBICCNsMMrBNSTi1M4d190111	BNST			1M4	male	BNST	PAL
pBICCNsMMrBNSTi2M3d190119a	BNST			2M3	male	BNST	PAL
pBICCNsMMrBNSTi3M5d190119a	BNST			3M5	male	BNST	PAL
pBICCNsMMrBNSTi3M5d190119b	BNST			3M5	male	BNST	PAL
pBICCNsMMrBNSTi3M7d190119a	BNST			3M7	male	BNST	PAL
pBICCNsMMrBNSTi3M7d190119b	BNST			3M7	male	BNST	PAL
pBICCNsMMrBNSTi3M8d190119a	BNST			3M8	male	BNST	PAL
pBICCNsMMrBNSTi3M8d190119b	BNST			3M8	male	BNST	PAL
pBICCNsMMrBNSTi3M8d190119c	BNST			2M2	male	BNST	PAL
pBICCNsMMrBNSTi2M2d190116a	BNST			2M2	male	BNST	PAL
pBICCNsMMrBNSTi2M2d190116b	BNST			2M2	male	BNST	PAL
pBICCNsMMrBNSTi3M6d190119a	BNST			3M6	male	BNST	PAL
