library	region	sub_region	sub_region_tube_id	donor_id	sex	dissectate	brain_struct
pBICCNsMMrBSM5iM010d191022	BS	M5	M5	M010	male	BS_M5_M5	MY
pBICCNsMMrBSM5iF008d191029	BS	M5	M5	F008	female	BS_M5_M5	MY
pBICCNsMMrBSM5iF005d190514	BS	M5	M5	F005	female	BS_M5_M5	MY
pBICCNsMMrMBM5iM012d200825	MB	M5	M5	M012	male	MB_M5_M5	MB
pBICCNsMMrMBM5iF010d200825	MB	M5	M5	F010	female	MB_M5_M5	MB
pBICCNsMMrMBM5iF012d201007	MB	M5	M5	F012	female	MB_M5_M5	MB
pBICCNsMMrMBM5iF013d201007	MB	M5	M5	F013	female	MB_M5_M5	MB
pBICCNsMMrMBM5iM014d201007	MB	M5	M5	M014	male	MB_M5_M5	MB
pBICCNsMMrMBM5iM013d201007	MB	M5	M5	M013	male	MB_M5_M5	MB
pBICCNsMMrBSM6iF005d190710	BS	M6	M6	F005	female	BS_M6_M6	MY
pBICCNsMMrBSM6iM008d190716	BS	M6	M6	M008	male	BS_M6_M6	MY
pBICCNsMMrBSM6iM009d190722	BS	M6	M6	M009	male	BS_M6_M6	MY
pBICCNsMMrBSM6iF007d191016	BS	M6	M6	F007	female	BS_M6_M6	MY
pBICCNsMMrBSM6iM010d191022	BS	M6	M6	M010	male	BS_M6_M6	MY
pBICCNsMMrBSM6iF008d191029	BS	M6	M6	F008	female	BS_M6_M6	MY
pBICCNsMMrMBM6iM012d200825	MB	M6	M6	M012	male	MB_M6_M6	MB
pBICCNsMMrMBM6iF010d200825	MB	M6	M6	F010	female	MB_M6_M6	MB
pBICCNsMMrMBM6iF012d201007	MB	M6	M6	F012	female	MB_M6_M6	MB
pBICCNsMMrMBM6iM014d201007	MB	M6	M6	M014	male	MB_M6_M6	MB
pBICCNsMMrMBM6iF011d201007	MB	M6	M6	F011	female	MB_M6_M6	MB
pBICCNsMMrMBM6iM013d201007	MB	M6	M6	M013	male	MB_M6_M6	MB
pBICCNsMMrBSM7iF005d190710	BS	M7	M7	F005	female	BS_M7_M7	MY
pBICCNsMMrBSM7iM008d190716	BS	M7	M7	M008	male	BS_M7_M7	MY
pBICCNsMMrBSM7iM009d190722	BS	M7	M7	M009	male	BS_M7_M7	MY
pBICCNsMMrBSM7iF007d191016	BS	M7	M7	F007	female	BS_M7_M7	MY
pBICCNsMMrBSM7iM010d191022	BS	M7	M7	M010	male	BS_M7_M7	MY
pBICCNsMMrBSM7iF008d191029	BS	M7	M7	F008	female	BS_M7_M7	MY
pBICCNsMMrMBM7iM012d200825	MB	M7	M7	M012	male	MB_M7_M7	MB
pBICCNsMMrMBM7iF010d200825	MB	M7	M7	F010	female	MB_M7_M7	MB
pBICCNsMMrMBM7iF012d201007	MB	M7	M7	F012	female	MB_M7_M7	MB
pBICCNsMMrMBM7iF013d201007	MB	M7	M7	F013	female	MB_M7_M7	MB
pBICCNsMMrMBM7iM014d201007	MB	M7	M7	M014	male	MB_M7_M7	MB
pBICCNsMMrMBM7iM013d201007	MB	M7	M7	M013	male	MB_M7_M7	MB
pBICCNsMMrBSM8iF005d190710	BS	M8	M8	F005	female	BS_M8_M8	MY
pBICCNsMMrBSM8iM008d190716	BS	M8	M8	M008	male	BS_M8_M8	MY
pBICCNsMMrBSM8iM009d190722	BS	M8	M8	M009	male	BS_M8_M8	MY
pBICCNsMMrBSM8iF007d191016	BS	M8	M8	F007	female	BS_M8_M8	MY
pBICCNsMMrBSM8iM010d191022	BS	M8	M8	M010	male	BS_M8_M8	MY
pBICCNsMMrBSM8iF008d191029	BS	M8	M8	F008	female	BS_M8_M8	MY
pBICCNsMMrPALmMSCiF015d210126	PALm	MSC	MSC	F015	female	PALm_MSC_MSC	PAL
pBICCNsMMrPALmMSCiM016d210128	PALm	MSC	MSC	M016	male	PALm_MSC_MSC	PAL
pBICCNsMMrPALmMSCiM017d210203	PALm	MSC	MSC	M017	male	PALm_MSC_MSC	PAL
pBICCNsMMrPALmMSCiM015d210204	PALm	MSC	MSC	M015	male	PALm_MSC_MSC	PAL
pBICCNsMMrPALmMSCiF017d210209	PALm	MSC	MSC	F017	female	PALm_MSC_MSC	PAL
pBICCNsMMrPALmMSCiF014d210211	PALm	MSC	MSC	F014	female	PALm_MSC_MSC	PAL
pBICCNsMMrCTXMTGiF021d210525B1	CTX	MTG	MTG	F021	female	CTX_MTG_MTG	Isocortex
pBICCNsMMrCTXMTGiF021d210525B2	CTX	MTG	MTG	F021	female	CTX_MTG_MTG	Isocortex
pBICCNsMMrCTXMTGiM022d210602B1	CTX	MTG	MTG	M022	male	CTX_MTG_MTG	Isocortex
pBICCNsMMrCTXMTGiM022d210602B2	CTX	MTG	MTG	M022	male	CTX_MTG_MTG	Isocortex
pBICCNsMMrCTXMTGiF022d210610B1	CTX	MTG	MTG	F022	female	CTX_MTG_MTG	Isocortex
pBICCNsMMrCTXMTGiF022d210610B2	CTX	MTG	MTG	F022	female	CTX_MTG_MTG	Isocortex
pBICCNsMMrNTSF3iF003d191105	NTS	NTS		F003	female	NTS_NTS	MY
pBICCNsMMrNTSF4iF004d191105	NTS	NTS		F004	female	NTS_NTS	MY
pBICCNsMMrNTSM1iM001d191105	NTS	NTS		M001	male	NTS_NTS	MY
pBICCNsMMrNTSM4iM004d191105	NTS	NTS		M004	male	NTS_NTS	MY
pBICCNsMMrNTSM3iM003d191105	NTS	NTS		M003	male	NTS_NTS	MY
pBICCNsMMrOLFiF014d201201A1	OLF	OLF	OLF	F014	female	OLF_OLF_OLF	OLF
pBICCNsMMrOLFiF014d201201A2	OLF	OLF	OLF	F014	female	OLF_OLF_OLF	OLF
pBICCNsMMrOLFiF014d201201A3	OLF	OLF	OLF	F014	female	OLF_OLF_OLF	OLF
pBICCNsMMrOLFiF015d201201B1	OLF	OLF	OLF	F015	female	OLF_OLF_OLF	OLF
pBICCNsMMrOLFiF015d201201B2	OLF	OLF	OLF	F015	female	OLF_OLF_OLF	OLF
pBICCNsMMrOLFiF015d201201B3	OLF	OLF	OLF	F015	female	OLF_OLF_OLF	OLF
pBICCNsMMrOLFiM015d201201C1	OLF	OLF	OLF	M015	male	OLF_OLF_OLF	OLF
pBICCNsMMrOLFiM015d201201C2	OLF	OLF	OLF	M015	male	OLF_OLF_OLF	OLF
pBICCNsMMrOLFiM016d201201D1	OLF	OLF	OLF	M016	male	OLF_OLF_OLF	OLF
pBICCNsMMrOLFiM016d201201D2	OLF	OLF	OLF	M016	male	OLF_OLF_OLF	OLF
pBICCNsMMrOLFiM016d201201D3	OLF	OLF	OLF	M016	male	OLF_OLF_OLF	OLF
pBICCNsMMrOLFiM017d210119E1	OLF	OLF	OLF	M017	male	OLF_OLF_OLF	OLF
pBICCNsMMrOLFiM017d210119E2	OLF	OLF	OLF	M017	male	OLF_OLF_OLF	OLF
pBICCNsMMrOLFiM017d210119E3	OLF	OLF	OLF	M017	male	OLF_OLF_OLF	OLF
pBICCNsMMrOLFiM018d210119F1	OLF	OLF	OLF	M018	male	OLF_OLF_OLF	OLF
pBICCNsMMrOLFiM018d210119F2	OLF	OLF	OLF	M018	male	OLF_OLF_OLF	OLF
pBICCNsMMrOLFiM018d210119F3	OLF	OLF	OLF	M018	male	OLF_OLF_OLF	OLF
pBICCNsMMrOLFiF016d210119G1	OLF	OLF	OLF	F016	female	OLF_OLF_OLF	OLF
pBICCNsMMrOLFiF016d210119G2	OLF	OLF	OLF	F016	female	OLF_OLF_OLF	OLF
pBICCNsMMrOLFiF016d210119G3	OLF	OLF	OLF	F016	female	OLF_OLF_OLF	OLF
pBICCNsMMrOLFiF017d210119H1	OLF	OLF	OLF	F017	female	OLF_OLF_OLF	OLF
pBICCNsMMrOLFiF017d210119H2	OLF	OLF	OLF	F017	female	OLF_OLF_OLF	OLF
pBICCNsMMrOLFiF017d210119H3	OLF	OLF	OLF	F017	female	OLF_OLF_OLF	OLF
pBICCNsMMrMOpPiF008d190314b	MOp	P	P	F008	female	MOp_P_P	Isocortex
pBICCNsMMrMOpPiF003d190318b	MOp	P	P	F003	female	MOp_P_P	Isocortex
pBICCNsMMrMOpPiM002d190320b	MOp	P	P	M002	male	MOp_P_P	Isocortex
pBICCNsMMrMOpPiM008d190320b	MOp	P	P	M008	male	MOp_P_P	Isocortex
pBICCNsMMrMOpPiF004d190314	MOp	P	P	F004	female	MOp_P_P	Isocortex
pBICCNsMMrMOpPiM007d190320b	MOp	P	P	M007	male	MOp_P_P	Isocortex
pBICCNsMMrMOpPiF007d190314	MOp	P	P	F007	female	MOp_P_P	Isocortex
pBICCNsMMrMOpPiF006d190314	MOp	P	P	F006	female	MOp_P_P	Isocortex
pBICCNsMMrMOpPiM004d190318b	MOp	P	P	M004	male	MOp_P_P	Isocortex
pBICCNsMMrMOpPiM003d190318b	MOp	P	P	M003	male	MOp_P_P	Isocortex
pBICCNsMMrMOpPiF005d190318b	MOp	P	P	F005	female	MOp_P_P	Isocortex
pBICCNsMMrRSPPiF017d210210A1	RSP	P	P	F017	female	RSP_P_P	Isocortex
pBICCNsMMrRSPPiF017d210210A2	RSP	P	P	F017	female	RSP_P_P	Isocortex
pBICCNsMMrRSPPiF017d210210A3	RSP	P	P	F017	female	RSP_P_P	Isocortex
pBICCNsMMrRSPPiF017d210210B1	RSP	P	P	F017	female	RSP_P_P	Isocortex
pBICCNsMMrRSPPiF017d210210B2	RSP	P	P	F017	female	RSP_P_P	Isocortex
pBICCNsMMrRSPPiF017d210210B3	RSP	P	P	F017	female	RSP_P_P	Isocortex
pBICCNsMMrCBPFiM006d190124	CB	PF	PF	M006	male	CB_PF_PF	CB
pBICCNsMMrCBPFiF002d190304a	CB	PF	PF	F002	female	CB_PF_PF	CB
pBICCNsMMrCBPFiF002d190304c	CB	PF	PF	F002	female	CB_PF_PF	CB
pBICCNsMMrCBPFiM006d190313a	CB	PF	PF	M006	male	CB_PF_PF	CB
pBICCNsMMrCBPFiM006d190313b	CB	PF	PF	M006	male	CB_PF_PF	CB
pBICCNsMMrCBPFiM001d190107a	CB	PF	PF	M001	male	CB_PF_PF	CB
pBICCNsMMrCBPFiM001d190107b	CB	PF	PF	M001	male	CB_PF_PF	CB
pBICCNsMMrCBPFiM001d190107c	CB	PF	PF	M001	male	CB_PF_PF	CB
pBICCNsMMrCBPFiM001d190107d	CB	PF	PF	M001	male	CB_PF_PF	CB
pBICCNsMMrCBPRMiM002d190312c	CB	PRM	PRM	M002	male	CB_PRM_PRM	CB
pBICCNsMMrCBPRMiM002d190312d	CB	PRM	PRM	M002	male	CB_PRM_PRM	CB
pBICCNsMMrCBPRMiM002d190312e	CB	PRM	PRM	M002	male	CB_PRM_PRM	CB
pBICCNsMMrCBPRMiF002d190304a	CB	PRM	PRM	F002	female	CB_PRM_PRM	CB
pBICCNsMMrCBPRMiF002d190304b	CB	PRM	PRM	F002	female	CB_PRM_PRM	CB
pBICCNsMMrCBPRMiF002d190304c	CB	PRM	PRM	F002	female	CB_PRM_PRM	CB
pBICCNsMMrCBPRMiM002d190312a	CB	PRM	PRM	M002	male	CB_PRM_PRM	CB
pBICCNsMMrCBPRMiM002d190312b	CB	PRM	PRM	M002	male	CB_PRM_PRM	CB
pBICCNsMMrCBPRMiM006d190321a	CB	PRM	PRM	M006	male	CB_PRM_PRM	CB
pBICCNsMMrCBPRMiM006d190321b	CB	PRM	PRM	M006	male	CB_PRM_PRM	CB
pBICCNsMMrCBPRMiM006d190321c	CB	PRM	PRM	M006	male	CB_PRM_PRM	CB
pBICCNsMMrCBPRMiM006d190321d	CB	PRM	PRM	M006	male	CB_PRM_PRM	CB
pBICCNsMMrCBPRMiM006d190321e	CB	PRM	PRM	M006	male	CB_PRM_PRM	CB
pBICCNsMMrCBPRMiM006d190321f	CB	PRM	PRM	M006	male	CB_PRM_PRM	CB
pBICCNsMMrS1iF022d210713A1	S1	S1	S1	F022	female	S1_S1_S1	Isocortex
pBICCNsMMrS1iF022d210713A2	S1	S1	S1	F022	female	S1_S1_S1	Isocortex
pBICCNsMMrS1iF022d210713A3	S1	S1	S1	F022	female	S1_S1_S1	Isocortex
pBICCNsMMrS1iF022d210713A4	S1	S1	S1	F022	female	S1_S1_S1	Isocortex
pBICCNsMMrS1iF022d210713A6	S1	S1	S1	F022	female	S1_S1_S1	Isocortex
pBICCNsMMrCBSIMiM002d190312a	CB	SIM	SIM	M002	male	CB_SIM_SIM	CB
pBICCNsMMrCBSIMiM002d190312b	CB	SIM	SIM	M002	male	CB_SIM_SIM	CB
pBICCNsMMrCBSIMiM002d190312c	CB	SIM	SIM	M002	male	CB_SIM_SIM	CB
pBICCNsMMrCBSIMiM002d190312d	CB	SIM	SIM	M002	male	CB_SIM_SIM	CB
pBICCNsMMrCBSIMiM006d190313a	CB	SIM	SIM	M006	male	CB_SIM_SIM	CB
pBICCNsMMrCBSIMiM006d190313b	CB	SIM	SIM	M006	male	CB_SIM_SIM	CB
pBICCNsMMrCBSIMiM006d190313c	CB	SIM	SIM	M006	male	CB_SIM_SIM	CB
pBICCNsMMrCBSIMiF001d190115	CB	SIM	SIM	F001	female	CB_SIM_SIM	CB
pBICCNsMMrPALvSIMANDBiF015d210126	PALv	SIMANDB	SIMANDB	F015	female	PALv_SIMANDB_SIMANDB	PAL
pBICCNsMMrPALvSIMANDBiM016d210128	PALv	SIMANDB	SIMANDB	M016	male	PALv_SIMANDB_SIMANDB	PAL
pBICCNsMMrPALvSIMANDBiM017d210203	PALv	SIMANDB	SIMANDB	M017	male	PALv_SIMANDB_SIMANDB	PAL
pBICCNsMMrPALvSIMANDBiM015d210204	PALv	SIMANDB	SIMANDB	M015	male	PALv_SIMANDB_SIMANDB	PAL
pBICCNsMMrPALvSIMANDBiF017d210209	PALv	SIMANDB	SIMANDB	F017	female	PALv_SIMANDB_SIMANDB	PAL
pBICCNsMMrPALvSIMANDBiF014d210211	PALv	SIMANDB	SIMANDB	F014	female	PALv_SIMANDB_SIMANDB	PAL
