Zeng_cl,gene
396,Vsig2
396,Syt17
396,Cartpt
397,Chrna6
397,Cd24a
397,Spc25
379,Tafa2
380,Ednra
380,Hpgd
380,Stard8
382,Pcp4
382,Hpgd
382,Ndnf
385,Arhgap28
385,Tafa1
385,Diaph3
392,Arhgap28
392,Gm19410
392,Qrfpr
407,C1ql2
407,C7
410,C1ql2
411,C1ql2
411,Grp
337,Rab38
337,Fn1
337,Ndnf
337,Sema3d
338,Nts
338,Fn1
340,Lipm
341,Etv1
341,Fn1
372,Fn1
372,Dio3
372,Hpse2
372,Tenm2
333,Teddm3
335,Npbwr1
335,Dcn
335,Fn1
336,Ndst4
336,Qrfprl
365,Gpr101
365,Dcn
365,Qrfprl
365,Tenm2
373,Krt73
373,Dsc3
374,Krt73
374,Teddm3
374,Scn4b
334,Scn5a
334,Kit
334,Sebox
339,Scn5a
339,Sebox
371,Rab38
371,Dcn
326,Lipm
326,Thsd7b
326,Npsr1
433,Lefty1
433,Tmem215
433,Fgf16
278,Zic1
278,Ntf3
297,Ntf3
297,Spaar
298,Sim1
298,Rgs13
18,Syndig1l
18,Olfr111
18,Layn
37,Col6a1
37,Olfr111
37,Angpt1
22,Ccn2
22,Npr3
22,Calca
22,Oxtr
21,Sostdc1
21,Fbxl7
21,Ccn2
23,Arhgap25
23,Pou6f2
23,Nxph3
23,Ccn2
16,Myzap
16,Ccn2
16,Meis2
16,Fgf16
16,Layn
17,Reln
17,Ccn2
17,Ccn3
17,Fgf16
17,Cidea
19,Myzap
19,Il1rapl2
19,Lypd6b
19,Esr1
20,Myzap
20,Prph
46,Il1rapl2
46,Otx1
49,Npr3
49,Alk
49,Cplx3
49,Ccn2
24,Col24a1
24,0610040J01Rik
24,Drd5
43,Pappa2
43,Ccn2
50,Pth2r
50,Prokr2
50,Dsc3
50,Slc9a4
51,Nxph4
51,Ccn2
25,Moxd1
25,Chrnb3
26,Chrnb3
26,Ankrd33b
52,Nmbr
52,Ccn2
52,Arhgap25
44,Ccbe1
44,Dkk2
44,Thsd7b
45,Rxfp1
45,Fbln2
45,Cplx3
47,Mme
14,Pth2r
14,Lancl3
14,Ccn2
31,Hs3st4
31,Krt80
31,Foxp2
31,Cplx3
32,Hs3st4
32,Ccn2
28,Prph
28,Ngf
29,Crh
29,Cplx3
30,Inhbb
30,Ccn2
27,Ccn2
27,Cntnap3
27,Pappa2
27,Cplx3
33,Tnmd
33,Olfr111
34,Itga9
34,Epas1
34,Tent5a
34,Olfr111
34,Serpine2
35,Moxd1
35,Rgs16
35,Olfr111
35,Adgrg6
36,Plekhd1
36,Nptx2
36,Ccn2
38,Slc17a8
38,Rxfp2
38,Krt80
64,Rxfp1
64,Cyp26b1
64,Mgat4c
64,Trabd2b
66,Hs3st4
66,Col6a1
66,Col5a1
66,Tgfbr2
66,Arhgap25
68,Cyp26b1
68,Krt80
68,Rgs5
68,Brinp3
72,Arhgap31
72,Mgp
72,Arhgap25
58,Hs3st4
58,C7
58,Syt6
65,Hs3st4
65,Krt80
65,Trabd2b
65,Nell1
65,Sdk1
65,Blnk
