Study_ID|Celltype_1,Study_ID|Celltype_2,cell_count_celltype_1,cell_count_celltype_2
Zeng|4234,Macosko|Ex_Ebf2_Tac2_1,137,171
Zeng|4359,Macosko|Inh_Hoxc4_Chrdl2_7,135,50
Zeng|4243,Macosko|Ex_Lmx1b_Dynap_5,72,138
Zeng|3928,Macosko|Ex_Phox2b_Slc39a12_2,40,62
Zeng|4328,Macosko|Ex_Ebf2_Nmu_2,52,44
Zeng|4414,Macosko|Inh_Pax2_Chrdl2_1,60,25
Zeng|3046,Macosko|Ex_Vsx2_Col2a1,139,33
Zeng|4332,Macosko|Ex_Ebf2_Crhr2_1,64,62
Macosko|Ex_Otx2_Dynlrb2,Zeng|2265,57,141
Zeng|2262,Macosko|Ex_Slc12a7_Sp110,96,468
Zeng|3961,Macosko|Ex_Phox2b_Gch1,80,99
Zeng|3893,Macosko|Chol_Tbx20_S100a11_4,29,95
Zeng|2764,Macosko|Ex_Lhx1_Edn1,193,876
Zeng|2266,Macosko|Ex_Slc12a7_Odad1_1,103,112
Zeng|1323,Macosko|Inh_Frmd7_Ltbp2_2,398,693
Zeng|4339,Macosko|Ex_Ebf2_Mgp,26,158
Zeng|967,Macosko|Inh_Sp8_Spp1_2,29,144
Zeng|3473,Macosko|Inh_Otx2_Bmp4_2,200,84
Zeng|2995,Macosko|Inh_Pax3_Vmn1r207_11,60,23
Zeng|4334,Macosko|Ex_Ebf2_C1qtnf7_2,64,101
Macosko|Chol_Tbx20_S100a11_2,Zeng|3894,184,75
Zeng|3201,Macosko|Inh_Foxp2_Sox2_2,193,47
Zeng|4386,Macosko|Inh_Hoxc4_Abcc9_4,52,43
Macosko|Inh_Pax2_Krt17_1,Zeng|4456,47,159
Zeng|1371,Macosko|NG_Draxin_5,174,308
Zeng|3952,Macosko|Ex_Phox2b_Dbh_1,30,109
Zeng|3649,Macosko|Ex_Hmx2_Ppef1_4,29,28
Zeng|3722,Macosko|Ex_Fam163a_Adad2,22,30
Zeng|4036,Macosko|Ex_Hmx3_Has2,59,74
Macosko|Inh_Hoxc4_Chrdl2_5,Zeng|4381,53,179
Zeng|2852,Macosko|SerInh_Fev_Fbxw28,40,78
Macosko|Inh_Frm7_Otop1_3,Zeng|1286,75,298
Macosko|Ex_Ebf2_Nmu_3,Zeng|4328,241,52
Zeng|3060,Macosko|Ex_Vsx2_Igfbp4_3,101,27
Macosko|Inh_Hoxc4_Fbln2_2,Zeng|4387,30,129
Macosko|Ex_Ebf2_Fer1l6_4,Zeng|4333,94,169
Zeng|4225,Macosko|Ex_Ebf2_6430628N08Rik_5,37,72
Zeng|993,Macosko|Inh_Pax6_Eya4_2,321,223
Zeng|3919,Macosko|Ex_Phox2b_Slc39a12_3,80,91
Zeng|2609,Macosko|Ex_Lhx9_Atp8b1_3,35,39
Macosko|Ex_Ebf2_Adgrd1_1,Zeng|4339,136,26
Macosko|Inh_Pax3_Vmn1r207_10,Zeng|2995,33,60
Macosko|Ex_Ebf2_Fer1l6_3,Zeng|4332,151,64
Zeng|2420,Macosko|ExInh_Lmx1b_Met,83,18
Zeng|3142,Macosko|Inh_Pax5_Cmtm8_1,80,41
Macosko|Ex_Ebf2_Sec1_3,Zeng|4231,29,76
