set,cluster_id
Songpeng et al.,3266
Songpeng et al.,202
Songpeng et al.,199
Songpeng et al.,219
Songpeng et al.,5203
Songpeng et al.,817
Songpeng et al.,318
Songpeng et al.,407
Songpeng et al.,311
Songpeng et al.,246
Songpeng et al.,5153
Songpeng et al.,4169
Songpeng et al.,705
Songpeng et al.,69
Songpeng et al.,4170
Songpeng et al.,1798
Songpeng et al.,2466
Songpeng et al.,4912
Songpeng et al.,266
Songpeng et al.,3008
Songpeng et al.,4217
Songpeng et al.,4040
Songpeng et al.,417
Songpeng et al.,2866
Songpeng et al.,5067
Songpeng et al.,588
Songpeng et al.,825
Songpeng et al.,55
Songpeng et al.,2898
Songpeng et al.,3121
Songpeng et al.,4814
Songpeng et al.,8803
Songpeng et al.,3613
Songpeng et al.,225
Songpeng et al.,365
Songpeng et al.,1381
Songpeng et al.,402
Songpeng et al.,537
Songpeng et al.,2907
Songpeng et al.,1809
Songpeng et al.,383
Songpeng et al.,366
Songpeng et al.,335
Songpeng et al.,2409
Songpeng et al.,437
Songpeng et al.,1983
Songpeng et al.,320
Songpeng et al.,3934
Songpeng et al.,89
Songpeng et al.,1306
Songpeng et al.,455
Songpeng et al.,4724
Songpeng et al.,1912
Songpeng et al.,1374
Songpeng et al.,569
Songpeng et al.,1178
Songpeng et al.,149
Songpeng et al.,673
Songpeng et al.,415
Songpeng et al.,3491
Songpeng et al.,8215
Songpeng et al.,3543
Songpeng et al.,3571
Songpeng et al.,4757
Songpeng et al.,3469
Songpeng et al.,14915
Songpeng et al.,1288
Songpeng et al.,1593
Songpeng et al.,59
Songpeng et al.,229
Songpeng et al.,1349
Songpeng et al.,14918
Songpeng et al.,1323
Songpeng et al.,952
Songpeng et al.,827
Songpeng et al.,1402
Songpeng et al.,1400
Songpeng et al.,4722
Songpeng et al.,4716
Songpeng et al.,255
Songpeng et al.,206
Songpeng et al.,2224
Songpeng et al.,3144
Songpeng et al.,2357
Songpeng et al.,726
Songpeng et al.,474
Songpeng et al.,4874
Songpeng et al.,3596
Songpeng et al.,3014
Songpeng et al.,939
Songpeng et al.,390
Songpeng et al.,976
Songpeng et al.,218
Songpeng et al.,337
Songpeng et al.,3501
Songpeng et al.,686
Songpeng et al.,312
Songpeng et al.,4591
Songpeng et al.,515
Songpeng et al.,1382
Songpeng et al.,102
Songpeng et al.,1599
Songpeng et al.,1406
Songpeng et al.,481
Songpeng et al.,3137
Songpeng et al.,271
Songpeng et al.,252
Songpeng et al.,3769
Songpeng et al.,8796
Songpeng et al.,1251
Songpeng et al.,518
Songpeng et al.,818
Songpeng et al.,3583
Songpeng et al.,325
Songpeng et al.,4928
Songpeng et al.,3267
Songpeng et al.,5094
Songpeng et al.,5023
Songpeng et al.,315
Songpeng et al.,3549
Songpeng et al.,4953
Songpeng et al.,3265
Songpeng et al.,5208
Songpeng et al.,567
Songpeng et al.,262
Songpeng et al.,1276
Songpeng et al.,1405
Songpeng et al.,1061
Songpeng et al.,165
Songpeng et al.,915
Songpeng et al.,22
