AUROC,fntype
0.955206198236931,conserved_one
0.947107414926708,conserved_one
0.93740924434722,diverged
0.987533528407706,conserved_one
0.996065594691169,conserved_both
0.991850958554277,diverged
0.997419520519575,diverged
0.99432027407349,conserved_both
0.743003663003663,diverged
0.924358744796096,conserved_one
0.968992683997986,conserved_both
0.992812427544633,conserved_one
0.95278728606357,diverged
0.995734828174507,diverged
0.966617933723197,conserved_one
0.835301273287654,diverged
0.99320293398533,diverged
0.801211982484719,conserved_one
0.989313823084544,conserved_one
0.844845404315852,conserved_one
0.977497376459223,diverged
0.984071471818271,conserved_both
0.96147452800158,conserved_one
0.90413926783442,diverged
0.992879412876255,conserved_both
0.82389041415032,conserved_one
0.97424883923453,diverged
0.924697629914159,conserved_one
0.959255209992673,conserved_both
0.907975608531656,diverged
0.977162779217574,diverged
0.983530248689503,conserved_one
0.992067293171443,diverged
0.917526129726407,conserved_one
0.939737520225325,diverged
0.977549074528823,diverged
0.997375200976309,diverged
0.806709404704093,diverged
0.856319886827127,diverged
0.871272206136118,conserved_one
0.921106958704963,conserved_both
0.874135401951208,diverged
0.990472546393725,conserved_both
0.916974447874268,diverged
0.936717946760959,conserved_one
0.987100556542891,conserved_one
0.936591971740269,conserved_one
0.935391250251939,conserved_one
0.981117436593095,conserved_both
0.974625750303187,conserved_both
0.956301337625497,diverged
0.971832918463431,conserved_one
0.974185723480442,conserved_one
0.995915477242749,conserved_both
0.994639657403117,conserved_both
0.990501822984425,conserved_both
0.987131665101606,diverged
0.980711113390637,diverged
0.9923044713197,diverged
0.993890561114421,diverged
0.991261785840418,conserved_both
0.992588055524697,conserved_both
0.995866196207825,conserved_one
0.995798538866628,diverged
0.972100011501716,diverged
0.998273144539747,conserved_one
0.990857371287477,conserved_one
0.99079652113699,conserved_one
0.994238450032523,conserved_both
0.990059810254842,conserved_one
0.989837437653055,conserved_both
0.985740797639793,conserved_both
0.987479134125654,conserved_both
0.988581018584432,conserved_one
0.995844722209768,conserved_one
0.986780388882871,diverged
0.98361116665476,conserved_one
0.988470939617983,diverged
0.990454881983414,diverged
0.989803433307844,conserved_one
0.98108764044821,conserved_one
0.975817730972999,conserved_one
0.992317666526102,diverged
0.995340512731078,conserved_both
0.984776543084412,conserved_one
0.989162325368536,diverged
0.99156233033468,conserved_one
0.988957840585253,conserved_one
0.976672214471247,conserved_one
0.991141399969762,conserved_one
0.987084370880167,conserved_both
0.974300841017251,conserved_one
0.986382461700225,conserved_one
