target_cluster,source,auroc,type,source_label,Comparison
Ex_Dmrta2_Greb1_1,Macosko,0.8537300798419113,self_1_vs_all_AUROC,Nuclei,Target cluster vs all
Inh_Pax2_Ppp1r1c_3,Macosko,0.9306975842073232,self_1_vs_all_AUROC,Nuclei,Target cluster vs all
Ex_Lmx1a_Npffr2_3,Macosko,0.9164796983430148,self_1_vs_all_AUROC,Nuclei,Target cluster vs all
Ex_Sim1_Pgr15l_3,Macosko,0.9502590003272748,self_1_vs_all_AUROC,Nuclei,Target cluster vs all
Ex_Phox2b_Serpinb7_2,Macosko,0.714955353394998,self_1_vs_all_AUROC,Nuclei,Target cluster vs all
Ex_Lhx2_Frk,Macosko,0.9913662138792956,self_1_vs_all_AUROC,Nuclei,Target cluster vs all
Inh_Otx2_Mbnl3,Macosko,0.8899839368820289,self_1_vs_all_AUROC,Nuclei,Target cluster vs all
Ex_Slc30a3_Shisa8_3,Macosko,0.8873666339218391,self_1_vs_all_AUROC,Nuclei,Target cluster vs all
Ex_Onecut2_Hmx3_Dmbx1_2,Macosko,0.8235865546724401,self_1_vs_all_AUROC,Nuclei,Target cluster vs all
Ex_Vsx2_Tspo2_1,Macosko,0.8136440089225092,self_1_vs_all_AUROC,Nuclei,Target cluster vs all
Inh_Ecel1_Sytl4_2,Macosko,0.8910730233902107,self_1_vs_all_AUROC,Nuclei,Target cluster vs all
Ex_Plekhg1_Nox4_Kcp_3,Macosko,0.9236365855766656,self_1_vs_all_AUROC,Nuclei,Target cluster vs all
Inh_Six3_Dpy19l2_5,Macosko,0.9271673195132916,self_1_vs_all_AUROC,Nuclei,Target cluster vs all
Oligo_Opalin_Enpp6_2,Macosko,0.8511874873204652,self_1_vs_all_AUROC,Nuclei,Target cluster vs all
Inh_Tfap2b_Cdh23_2,Macosko,0.9215488476066293,self_1_vs_all_AUROC,Nuclei,Target cluster vs all
Inh_Lhx6_Esr2_10,Macosko,0.8602776277874267,self_1_vs_all_AUROC,Nuclei,Target cluster vs all
Inh_Pax6_Cdh23,Macosko,0.921490103412206,self_1_vs_all_AUROC,Nuclei,Target cluster vs all
Inh_Etv3l_Erfl_1,Macosko,0.7926642633484646,self_1_vs_all_AUROC,Nuclei,Target cluster vs all
Inh_Sncg_Calcb_7,Macosko,0.9745774401840648,self_1_vs_all_AUROC,Nuclei,Target cluster vs all
Inh_Pax5_Cckar,Macosko,0.8619063512399486,self_1_vs_all_AUROC,Nuclei,Target cluster vs all
Ex_Vsx2_Apbb1ip,Macosko,0.9847888127469528,self_1_vs_all_AUROC,Nuclei,Target cluster vs all
Inh_Pax2_Erfl_8,Macosko,0.8897038333388209,self_1_vs_all_AUROC,Nuclei,Target cluster vs all
Ex_Sall1_Pmfbp1_2,Macosko,0.939782303912883,self_1_vs_all_AUROC,Nuclei,Target cluster vs all
Inh_Vip_Trim55_3,Macosko,0.9535303556287488,self_1_vs_all_AUROC,Nuclei,Target cluster vs all
Fibro_Eya2_Rbp4_4,Macosko,0.8851274314212424,self_1_vs_all_AUROC,Nuclei,Target cluster vs all
Inh_Emx2_Foxa2_3,Macosko,0.922265458903547,self_1_vs_all_AUROC,Nuclei,Target cluster vs all
Inh_Lhx1_Egflam_2,Macosko,0.9874338665231164,self_1_vs_all_AUROC,Nuclei,Target cluster vs all
Inh_Pax2_Has2_1,Macosko,0.889100850848274,self_1_vs_all_AUROC,Nuclei,Target cluster vs all
Ex_Sall1_Fgf7_2,Macosko,0.9459430279926888,self_1_vs_all_AUROC,Nuclei,Target cluster vs all
Inh_Foxl3_Fam83b,Macosko,0.987414640920081,self_1_vs_all_AUROC,Nuclei,Target cluster vs all
Ex_Pitx2_Gm7271,Macosko,0.9702284111106804,self_1_vs_all_AUROC,Nuclei,Target cluster vs all
Ex_Lhx9_Hsd17b14_1,Macosko,0.8417826413194863,self_1_vs_all_AUROC,Nuclei,Target cluster vs all
Ex_Phox2b_Dbh_5,Macosko,0.9140767701161366,self_1_vs_all_AUROC,Nuclei,Target cluster vs all
Inh_Lhx6_Car8_6,Macosko,0.9227435424031896,self_1_vs_all_AUROC,Nuclei,Target cluster vs all
Ex_C1ql4_Bank1,Macosko,0.945690332736894,self_1_vs_all_AUROC,Nuclei,Target cluster vs all
Ex_Ebf2_Mafa_2,Macosko,0.92478510124775,self_1_vs_all_AUROC,Nuclei,Target cluster vs all
Inh_Foxp2_Ntrk1_2,Macosko,0.8821631532746863,self_1_vs_all_AUROC,Nuclei,Target cluster vs all
Inh_Gata3_Dhrs3_Sox14_2,Macosko,0.8805053542967236,self_1_vs_all_AUROC,Nuclei,Target cluster vs all
Ex_Pax2_Chat,Macosko,0.9065062223219574,self_1_vs_all_AUROC,Nuclei,Target cluster vs all
Inh_Fbxl7_9130008F23Rik,Macosko,0.7813435844746622,self_1_vs_all_AUROC,Nuclei,Target cluster vs all
Ex_C1ql4_Mdfic2_1,Macosko,0.9129469682450436,self_1_vs_all_AUROC,Nuclei,Target cluster vs all
Ex_Tfap2d_Bnip5_2,Macosko,0.9741557763494848,self_1_vs_all_AUROC,Nuclei,Target cluster vs all
Inh_Dlx1_Dnah5_2,Macosko,0.7698010863174292,self_1_vs_all_AUROC,Nuclei,Target cluster vs all
Inh_Fbxl7_Npy2r,Macosko,0.9264275568291694,self_1_vs_all_AUROC,Nuclei,Target cluster vs all
Inh_Gata3_Dhrs3_Sox14_4,Macosko,0.9742757322558074,self_1_vs_all_AUROC,Nuclei,Target cluster vs all
Inh_Pax8_Pdzk1ip1_1,Macosko,0.9598002128468268,self_1_vs_all_AUROC,Nuclei,Target cluster vs all
Inh_Nkx2-2_Gata2_1,Macosko,0.8303330494174194,self_1_vs_all_AUROC,Nuclei,Target cluster vs all
Inh_Dmbx1_Gem_1,Macosko,0.9431610150703632,self_1_vs_all_AUROC,Nuclei,Target cluster vs all
Inh_Pax2_Moxd1,Macosko,0.9359745050089388,self_1_vs_all_AUROC,Nuclei,Target cluster vs all
Inh_Onecut1_Met_4,Macosko,0.9275493437806752,self_1_vs_all_AUROC,Nuclei,Target cluster vs all
Ex_Slc12a7_Krt19,Macosko,0.7200310409037737,self_1_vs_all_AUROC,Nuclei,Target cluster vs all
Ex_Lmx1a_Arhgap36,Macosko,0.9837297800273912,self_1_vs_all_AUROC,Nuclei,Target cluster vs all
Ex_Ebf2_Grp,Macosko,0.9484523300236196,self_1_vs_all_AUROC,Nuclei,Target cluster vs all
Inh_Nkx2-2_Ecel1_2,Macosko,0.9270284073092356,self_1_vs_all_AUROC,Nuclei,Target cluster vs all
Inh_Pax5_Irs4_3,Macosko,0.9976626492191548,self_1_vs_all_AUROC,Nuclei,Target cluster vs all
Ex_Pitx2_Nkx2-2_5,Macosko,0.9101625462468412,self_1_vs_all_AUROC,Nuclei,Target cluster vs all
Inh_Gata3_Nkx2-2_2,Macosko,0.9381875310915058,self_1_vs_all_AUROC,Nuclei,Target cluster vs all
Ex_Fezf2_Urah_Shisa9_3,Macosko,0.8249481187978072,self_1_vs_all_AUROC,Nuclei,Target cluster vs all
Ex_Sox6_Erfl,Macosko,0.9689013983395725,self_1_vs_all_AUROC,Nuclei,Target cluster vs all
Ex_Ebf2_Pla2g5_9,Macosko,0.9393327320408776,self_1_vs_all_AUROC,Nuclei,Target cluster vs all
Inh_Fbxl7_Stpg2_2,Macosko,0.8640493107757675,self_1_vs_all_AUROC,Nuclei,Target cluster vs all
Ex_Lmx1b_Teddm3,Macosko,0.8858272761637405,self_1_vs_all_AUROC,Nuclei,Target cluster vs all
CholEx_Irx4_Matn1,Macosko,0.9827015392853496,self_1_vs_all_AUROC,Nuclei,Target cluster vs all
Ex_Sln_Sost_2,Macosko,0.9606128280174135,self_1_vs_all_AUROC,Nuclei,Target cluster vs all
Inh_Pax2_Sptlc3,Macosko,0.9969737021259256,self_1_vs_all_AUROC,Nuclei,Target cluster vs all
Inh_Lhx6_Nmu_3,Macosko,0.9428417038653898,self_1_vs_all_AUROC,Nuclei,Target cluster vs all
Inh_Gata3_Olfr48_5,Macosko,0.9429000079012012,self_1_vs_all_AUROC,Nuclei,Target cluster vs all
Inh_Dmrt3_Tarm1_1,Macosko,0.9361576996800712,self_1_vs_all_AUROC,Nuclei,Target cluster vs all
Inh_Nkx2-2_Gata2_8,Macosko,0.8975516382325498,self_1_vs_all_AUROC,Nuclei,Target cluster vs all
Ex_Tlx1_Aoc1,Macosko,0.7935230945476729,self_1_vs_all_AUROC,Nuclei,Target cluster vs all
Inh_Otx2_Samsn1_1,Macosko,0.9498516536674936,self_1_vs_all_AUROC,Nuclei,Target cluster vs all
Inh_Otx2_Lmcd1,Macosko,0.9725425357761824,self_1_vs_all_AUROC,Nuclei,Target cluster vs all
Inh_Pax2_Glp1r_1,Macosko,0.9601373267687984,self_1_vs_all_AUROC,Nuclei,Target cluster vs all
Inh_Pax2_Gdf6,Macosko,0.9345398664387138,self_1_vs_all_AUROC,Nuclei,Target cluster vs all
Ex_Hmx2_Ppef1_1,Macosko,0.9229945783101547,self_1_vs_all_AUROC,Nuclei,Target cluster vs all
Ex_Slc30a3_Shisa8_7,Macosko,0.9558065004971168,self_1_vs_all_AUROC,Nuclei,Target cluster vs all
Inh_Gata3_Nkx2-2_Cfap100_3,Macosko,0.940212378800489,self_1_vs_all_AUROC,Nuclei,Target cluster vs all
Inh_Pax2_Ppp1r1c_1,Macosko,0.9406515519178746,self_1_vs_all_AUROC,Nuclei,Target cluster vs all
Ex_Pou4f1_Rspo2,Macosko,0.8572087571579399,self_1_vs_all_AUROC,Nuclei,Target cluster vs all
Inh_Foxp2_Tmem233_1,Macosko,0.975816296516844,self_1_vs_all_AUROC,Nuclei,Target cluster vs all
Inh_Pax3_Galnt15,Macosko,0.9908428197188548,self_1_vs_all_AUROC,Nuclei,Target cluster vs all
Ex_Pax5_Lnp1_1,Macosko,0.9596824288212656,self_1_vs_all_AUROC,Nuclei,Target cluster vs all
Inh_Pax2_Cd40,Macosko,0.9224255810164828,self_1_vs_all_AUROC,Nuclei,Target cluster vs all
Ex_Hpgd_Pth2r_2,Macosko,0.9614539786009918,self_1_vs_all_AUROC,Nuclei,Target cluster vs all
Ex_Dmrta2_Lhx1_3,Macosko,0.879054538176717,self_1_vs_all_AUROC,Nuclei,Target cluster vs all
Ex_Phox2b_Cyp39a1_Mdfic2_5,Macosko,0.9653043186054996,self_1_vs_all_AUROC,Nuclei,Target cluster vs all
Inh_Gata3_Tnnt1_4,Macosko,0.9111769739875084,self_1_vs_all_AUROC,Nuclei,Target cluster vs all
Ex_Pou4f1_Htr5b_1,Macosko,0.935794858857345,self_1_vs_all_AUROC,Nuclei,Target cluster vs all
Ex_Ebf2_Gzmk_1,Macosko,0.965265023540176,self_1_vs_all_AUROC,Nuclei,Target cluster vs all
Inh_Six3_Casr,Macosko,0.9785262863869468,self_1_vs_all_AUROC,Nuclei,Target cluster vs all
Inh_Tfap2b_Tspo2,Macosko,0.9475525801353832,self_1_vs_all_AUROC,Nuclei,Target cluster vs all
Ex_Sall1_Vmn1r196,Macosko,0.8257643182298106,self_1_vs_all_AUROC,Nuclei,Target cluster vs all
Inh_Nkx2-2_Sox14_2,Macosko,0.9771023793049384,self_1_vs_all_AUROC,Nuclei,Target cluster vs all
Inh_Pax5_Tmem176b_2,Macosko,0.9969236945445372,self_1_vs_all_AUROC,Nuclei,Target cluster vs all
Ex_Lhx9_Frk_3,Macosko,0.8997005986795361,self_1_vs_all_AUROC,Nuclei,Target cluster vs all
Inh_Ecel1_Foxd1_1,Macosko,0.8979940129520331,self_1_vs_all_AUROC,Nuclei,Target cluster vs all
Inh_Pax5_Vwa7_2,Macosko,0.8907180993961771,self_1_vs_all_AUROC,Nuclei,Target cluster vs all
Inh_Lhx6_Esr2_11,Macosko,0.962026187282165,self_1_vs_all_AUROC,Nuclei,Target cluster vs all
Inh_Gata3_Clic5_3,Macosko,0.9630300290403008,self_1_vs_all_AUROC,Nuclei,Target cluster vs all
Ex_Ebf2_Bmp6,Macosko,0.8447801620509984,self_1_vs_all_AUROC,Nuclei,Target cluster vs all
