cell.type,study_id,n,cumulative_cell_fraction,cumulative_cluster_fraction,Dataset
Macosko|Ex_Dmrta2_Lhx1_6,Macosko,53,0.9874823474529507,0.6924453280318091,Nuclei
Macosko|Ex_Ebf2_4930469K13Rik_2,Macosko,53,0.9874943729670075,0.6926441351888668,Nuclei
Macosko|Ex_Ebf2_Tnc,Macosko,53,0.9875063984810641,0.6928429423459245,Nuclei
Macosko|Ex_Evx1_Nptx2,Macosko,53,0.9875184239951208,0.6930417495029821,Nuclei
Macosko|Ex_Fezf2_Cnksr3_Areg,Macosko,53,0.9875304495091775,0.6932405566600398,Nuclei
Macosko|Ex_Hoxb5_Nostrin,Macosko,53,0.9875424750232342,0.6934393638170974,Nuclei
Macosko|Ex_Lamc3_Fzd9_1,Macosko,53,0.9875545005372909,0.693638170974155,Nuclei
Macosko|Ex_Lhx9_Slc38a11_2,Macosko,53,0.9875665260513475,0.6938369781312127,Nuclei
Macosko|Ex_Lmx1b_Scn5a,Macosko,53,0.9875785515654043,0.6940357852882704,Nuclei
Macosko|Ex_Pax6_Avpr1a_1,Macosko,53,0.987590577079461,0.694234592445328,Nuclei
Macosko|Ex_Phox2b_Dsc3_3,Macosko,53,0.9876026025935176,0.6944333996023857,Nuclei
Macosko|Ex_Phox2b_Nts_2,Macosko,53,0.9876146281075744,0.6946322067594434,Nuclei
Macosko|Ex_Phox2b_Serpinb7_1,Macosko,53,0.987626653621631,0.694831013916501,Nuclei
Macosko|Ex_Phox2b_Slitrk6,Macosko,53,0.9876386791356877,0.6950298210735586,Nuclei
Macosko|Ex_Pou4f1_Ppp1r1c_1,Macosko,53,0.9876507046497445,0.6952286282306163,Nuclei
Macosko|Ex_Sim1_Ghrh_3,Macosko,53,0.9876627301638011,0.6954274353876739,Nuclei
Macosko|Ex_Skor1_Slc17a8_2,Macosko,53,0.9876747556778578,0.6956262425447316,Nuclei
Macosko|Ex_Slc30a3_Ntn5_1,Macosko,53,0.9876867811919146,0.6958250497017893,Nuclei
Macosko|Ex_Sox5_Crym_2,Macosko,53,0.9876988067059712,0.6960238568588469,Nuclei
Macosko|Inh_Ecel1_Asb4_1,Macosko,53,0.9877108322200279,0.6962226640159046,Nuclei
Macosko|Inh_Foxp2_Kcnj2_2,Macosko,53,0.9877228577340845,0.6964214711729623,Nuclei
Macosko|Inh_Gata3_Gxylt2_2,Macosko,53,0.9877348832481413,0.6966202783300198,Nuclei
Macosko|Inh_Gata3_Pou6f2_Olfr48_2,Macosko,53,0.987746908762198,0.6968190854870775,Nuclei
Macosko|Inh_Gata3_Tll2_2,Macosko,53,0.9877589342762546,0.6970178926441352,Nuclei
Macosko|Inh_Hoxc4_Chrdl2_5,Macosko,53,0.9877709597903114,0.6972166998011928,Nuclei
Macosko|Inh_Irx4_Catspere1_3,Macosko,53,0.987782985304368,0.6974155069582505,Nuclei
Macosko|Inh_Lhx1_Dach2_3,Macosko,53,0.9877950108184247,0.6976143141153082,Nuclei
Macosko|Inh_Lhx8_Oprk1,Macosko,53,0.9878070363324815,0.6978131212723658,Nuclei
Macosko|Inh_Onecut1_Sncg_1,Macosko,53,0.9878190618465381,0.6980119284294235,Nuclei
Macosko|Inh_Pax2_Smpdl3b_3,Macosko,53,0.9878310873605948,0.6982107355864812,Nuclei
Macosko|Inh_Pax2_Vgll3_14,Macosko,53,0.9878431128746515,0.6984095427435387,Nuclei
Macosko|Inh_Pax3_Moxd1,Macosko,53,0.9878551383887082,0.6986083499005964,Nuclei
Macosko|Inh_Pax7_Arhgap28_1,Macosko,53,0.9878671639027649,0.6988071570576541,Nuclei
Macosko|Inh_Pax7_P2ry10b_3,Macosko,53,0.9878791894168215,0.6990059642147117,Nuclei
Macosko|Inh_Six3_Dact1_2,Macosko,53,0.9878912149308783,0.6992047713717694,Nuclei
Macosko|Inh_Six3_Vmn1r209,Macosko,53,0.9879032404449349,0.6994035785288271,Nuclei
Macosko|Inh_Sox1_Sp9_6,Macosko,53,0.9879152659589916,0.6996023856858847,Nuclei
Macosko|Inh_Tfap2b_Gabrq_1,Macosko,53,0.9879272914730484,0.6998011928429424,Nuclei
Macosko|Inh_Tfap2b_Gabrq_2,Macosko,53,0.987939316987105,0.7,Nuclei
Macosko|NorEx_Phox2b_Gfral_4,Macosko,53,0.9879513425011617,0.7001988071570576,Nuclei
Macosko|NorEx_Phox2b_Ppara_2,Macosko,53,0.9879633680152184,0.7003976143141153,Nuclei
Zeng|1356,Zeng,52,0.9910494150843339,0.8027057497181511,Cells
Zeng|14877,Zeng,52,0.9910622768970184,0.8028936490041337,Cells
Zeng|1584,Zeng,52,0.991075138709703,0.8030815482901165,Cells
Zeng|1616,Zeng,52,0.9910880005223874,0.8032694475760992,Cells
Zeng|2522,Zeng,52,0.991100862335072,0.8034573468620819,Cells
Zeng|2539,Zeng,52,0.9911137241477566,0.8036452461480647,Cells
Zeng|2759,Zeng,52,0.991126585960441,0.8038331454340474,Cells
Zeng|2915,Zeng,52,0.9911394477731256,0.8040210447200301,Cells
Zeng|2960,Zeng,52,0.99115230958581,0.8042089440060127,Cells
Zeng|3067,Zeng,52,0.9911651713984946,0.8043968432919955,Cells
Zeng|3115,Zeng,52,0.9911780332111791,0.8045847425779782,Cells
Zeng|3197,Zeng,52,0.9911908950238636,0.8047726418639609,Cells
Zeng|3284,Zeng,52,0.9912037568365482,0.8049605411499436,Cells
Zeng|3305,Zeng,52,0.9912166186492326,0.8051484404359264,Cells
Zeng|3358,Zeng,52,0.9912294804619172,0.8053363397219091,Cells
Zeng|3616,Zeng,52,0.9912423422746017,0.8055242390078917,Cells
Zeng|3725,Zeng,52,0.9912552040872862,0.8057121382938744,Cells
Zeng|3937,Zeng,52,0.9912680658999707,0.8059000375798572,Cells
Zeng|4328,Zeng,52,0.9912809277126552,0.8060879368658399,Cells
Zeng|4386,Zeng,52,0.9912937895253398,0.8062758361518226,Cells
Zeng|4397,Zeng,52,0.9913066513380243,0.8064637354378054,Cells
Zeng|4642,Zeng,52,0.9913195131507088,0.8066516347237881,Cells
Zeng|4661,Zeng,52,0.9913323749633933,0.8068395340097707,Cells
Zeng|8801,Zeng,52,0.9913452367760778,0.8070274332957534,Cells
Macosko|Ex_C1ql4_Prph,Macosko,52,0.9879751666327835,0.700596421471173,Nuclei
Macosko|Ex_Dmrta2_Lrrc31_Th,Macosko,52,0.9879869652503485,0.7007952286282306,Nuclei
Macosko|Ex_Ebf2_Ddit4l_2,Macosko,52,0.9879987638679135,0.7009940357852883,Nuclei
Macosko|Ex_Ebf2_Vip,Macosko,52,0.9880105624854786,0.701192842942346,Nuclei
Macosko|Ex_Foxb1_Ctxn3_2,Macosko,52,0.9880223611030436,0.7013916500994036,Nuclei
Macosko|Ex_Lhx9_Lacc1,Macosko,52,0.9880341597206087,0.7015904572564612,Nuclei
Macosko|Ex_Lhx9_Prok2,Macosko,52,0.9880459583381738,0.7017892644135189,Nuclei
Macosko|Ex_Lhx9_Ripk4,Macosko,52,0.9880577569557388,0.7019880715705765,Nuclei
Macosko|Ex_Lmx1b_Dynap_4,Macosko,52,0.9880695555733039,0.7021868787276342,Nuclei
Macosko|Ex_Lmx1b_Pamr1_1,Macosko,52,0.988081354190869,0.7023856858846919,Nuclei
Macosko|Ex_Nxph4_Arhgap36,Macosko,52,0.988093152808434,0.7025844930417495,Nuclei
Macosko|Ex_Onecut3_Bmpr1b,Macosko,52,0.9881049514259991,0.7027833001988072,Nuclei
Macosko|Ex_Pax2_Erfl_3,Macosko,52,0.9881167500435641,0.7029821073558649,Nuclei
Macosko|Ex_Pax6_Scgn,Macosko,52,0.9881285486611292,0.7031809145129224,Nuclei
