Study_ID|Celltype_1,Study_ID|Celltype_2
Macosko|Ex_Evx2_Tnnt2,Zeng|24589
Macosko|Ex_Fam163a_Adad2,Zeng|3722
Macosko|Ex_Fam163a_Npy2r,Zeng|3724
Macosko|Ex_Fbxl7_Hmga2,Zeng|3108
Macosko|Ex_Fbxl7_Insrr_2,Zeng|4060
Macosko|Ex_Fezf1_Bnc2_1,Zeng|2518
Macosko|Ex_Fezf1_Bnc2_3,Zeng|2508
Macosko|Ex_Fezf2_9130008F23Rik,Zeng|375
Macosko|Ex_Fezf2_C1qtnf7,Zeng|318
Macosko|Ex_Fezf2_Col6a1_Gp139_Fos,Zeng|68
Macosko|Ex_Fezf2_Col6a1_Gpr139,Zeng|71
Macosko|Ex_Fezf2_Cpa6,Zeng|65
Macosko|Ex_Fezf2_Dlk1_A730049H05Rik,Zeng|362
Macosko|Ex_Fezf2_Dlk1_Fos_1,Zeng|346
Macosko|Ex_Fezf2_Fibcd1_Fos_Sema3e,Zeng|147
Macosko|Ex_Fezf2_Fn1_Mctp2,Zeng|372
Macosko|Ex_Fezf2_Galr1,Zeng|369
Macosko|Ex_Fezf2_Il22,Zeng|413
Macosko|Ex_Fezf2_Kit_Sostdc1,Zeng|60
Macosko|Ex_Fezf2_Lhx9_1,Zeng|365
Macosko|Ex_Fezf2_Lhx9_2,Zeng|324
Macosko|Ex_Fezf2_Lhx9_3,Zeng|355
Macosko|Ex_Fezf2_Lipm,Zeng|326
Macosko|Ex_Fezf2_Lrp2,Zeng|330
Macosko|Ex_Fezf2_Myzap,Zeng|77
Macosko|Ex_Fezf2_Pirt_Gli2,Zeng|93
Macosko|Ex_Fezf2_Pvalb_Pirt,Zeng|87
Macosko|Ex_Fezf2_Rgs16,Zeng|202
Macosko|Ex_Fezf2_Ror1_Clspn,Zeng|373
Macosko|Ex_Fezf2_Sebox,Zeng|75
Macosko|Ex_Fezf2_Slc9a4_Fos,Zeng|54
Macosko|Ex_Fezf2_Tmem255b_2,Zeng|42
Macosko|Ex_Fezf2_Urah_Alcam,Zeng|73
Macosko|Ex_Fezf2_Vgll3,Zeng|441
Macosko|Ex_Fibcd1_Lefty1_1,Zeng|358
