Study_ID|Celltype_1,Study_ID|Celltype_2
Macosko|Ex_Slc30a3_P2rx6,Zeng|299
Macosko|Ex_Slc30a3_Shisa8_1,Zeng|314
Macosko|Ex_Slc30a3_Shisa8_7,Zeng|317
Macosko|Ex_Slc30a3_Ssmem1_1,Zeng|272
Macosko|Ex_Sln_Sost_1,Zeng|2866
Macosko|Ex_Sox6_Prom1,Zeng|4874
Macosko|Ex_Sox6_Rbm47,Zeng|4875
Macosko|Ex_Sox6_Ttc29_2,Zeng|4876
Macosko|Ex_Sulf1_Agtr1b,Zeng|149
Macosko|Ex_Tfap2b_Calcr,Zeng|4485
Macosko|Ex_Tfap2b_Ccdc172_Calcr,Zeng|2778
Macosko|Ex_Tfap2b_Saa1,Zeng|4470
Macosko|Ex_Tfap2d_Atp6ap1l_1,Zeng|4561
Macosko|Ex_Tfap2d_Casq2,Zeng|4591
Macosko|Ex_Tfap2d_Crhr2_2,Zeng|4580
Macosko|Ex_Tfap2d_Crhr2_3,Zeng|4581
Macosko|Ex_Tfap2d_Ctsc,Zeng|4595
Macosko|Ex_Tfap2d_Emid1_2,Zeng|4882
Macosko|Ex_Tlx1_Crocc2_5,Zeng|3800
Macosko|Ex_Tlx1_Crocc2_6,Zeng|24523
Macosko|Ex_Tlx1_Tmem215_3,Zeng|3794
Macosko|Ex_Vsx2_Apbb1ip,Zeng|3049
Macosko|Ex_Vsx2_Col15a1,Zeng|3023
Macosko|Ex_Vsx2_Col2a1,Zeng|3046
Macosko|Ex_Vsx2_Ghrh_2,Zeng|3103
Macosko|Ex_Vsx2_Ghrh_3,Zeng|3099
Macosko|Ex_Vsx2_Igfbp4_2,Zeng|3038
Macosko|Ex_Vsx2_Igfbp4_3,Zeng|3060
Macosko|Ex_Vsx2_Lhx4_5,Zeng|3045
Macosko|Ex_Vsx2_Sp8,Zeng|3112
Macosko|Ex_Vsx2_Tspo2_2,Zeng|3097
Macosko|Fibro_Eya2_Dapl1,Zeng|5258
Macosko|Inh_Bhlhe22_Cdh23_1,Zeng|3851
Macosko|Inh_Bhlhe22_Chrna2,Zeng|3858
Macosko|Inh_Clic4_Ano3_3,Zeng|933
Macosko|Inh_Cobll1_Heg1,Zeng|1356
Macosko|Inh_Creb5_Ror1_1,Zeng|1381
Macosko|Inh_Creb5_Ror1_2,Zeng|1379
Macosko|Inh_Dmbx1_Car8,Zeng|3564
Macosko|Inh_Dmbx1_Tacr3_2,Zeng|3565
Macosko|Inh_Dmbx1_Tacr3_3,Zeng|3571
Macosko|Inh_Ebf2_Stc1_2,Zeng|2976
Macosko|Inh_Ecel1_Asb4_2,Zeng|885
Macosko|Inh_Emx2_Irx4,Zeng|3506
Macosko|Inh_Emx2_Qrfprl,Zeng|3310
Macosko|Inh_Fbxl7_Ankrd1,Zeng|4106
Macosko|Inh_Fbxl7_Crabp1_1,Zeng|3843
Macosko|Inh_Fbxl7_Nccrp1,Zeng|2172
Macosko|Inh_Foxa2_Ano1,Zeng|3149
Macosko|Inh_Foxa2_Upp1_3,Zeng|3345
Macosko|Inh_Foxd3_Gm525_2,Zeng|3707
Macosko|Inh_Foxd3_Sp9,Zeng|24713
Macosko|Inh_Foxl3_Apela,Zeng|34197
Macosko|Inh_Foxp2_Lbhd2_1,Zeng|2949
Macosko|Inh_Foxp2_Sox2_2,Zeng|3201
Macosko|Inh_Foxp2_Sox2_4,Zeng|2961
