region_remap,ClusterNm,cell_count_Macosko
ACA,Chol_Tbx20_S100a11_9,0
ACA,Chol_Tbx20_Ucn,0
ACA,DC_Slamf7_Ccr7,0
ACA,DC_Slamf7_Gcsam,3
ACA,DopEx_Calb1_Aqp1,0
ACA,DopEx_Calb1_Col6a5,0
ACA,DopEx_Calb1_Col14a1,0
ACA,DopEx_Calb1_Ggta1,0
ACA,DopEx_Calb1_Lpl_1,0
ACA,DopEx_Calb1_Lpl_2,0
ACA,DopEx_Calb1_Mc3r,0
ACA,DopEx_Calb1_Ngf,0
ACA,DopEx_Calb1_Npw_1,0
ACA,DopEx_Calb1_Npw_2,0
ACA,DopEx_Calb1_Tdh,0
ACA,DopEx_Calb1_Trpv1,0
ACA,DopEx_Sox6_Aldh1a1,0
ACA,Endo_Flt1_Acta2_Olfr558_1,9
ACA,Endo_Flt1_Acta2_Olfr558_2,3
ACA,Endo_Flt1_Acta2_Olfr558_3,1
ACA,Endo_Flt1_Actg2,7
ACA,Endo_Flt1_Cysltr1_Slc19a3,61
ACA,Endo_Flt1_Cytl1,29
ACA,Endo_Flt1_Exoc3l2_1,0
ACA,Endo_Flt1_Exoc3l2_2,1
ACA,Endo_Flt1_Kcnj8,618
ACA,Endo_Flt1_Kcnj8_Ccl19_1,20
ACA,Endo_Flt1_Kcnj8_Ccl19_2,2
ACA,Endo_Flt1_Kcnj8_Slc47a2_1,0
ACA,Endo_Flt1_Kcnj8_Slc47a2_2,0
ACA,Endo_Flt1_Lrg1_1,9
ACA,Endo_Flt1_Lrg1_2,0
ACA,Endo_Flt1_Lrg1_3,29
ACA,Endo_Flt1_Lrg1_4,0
ACA,Endo_Flt1_Lrg1_5,0
ACA,Endo_Flt1_Rgs5_Slc19a3_1,824
ACA,Endo_Flt1_Ssu2_1,3
ACA,Endo_Flt1_Ssu2_2,0
ACA,Endo_Flt1_Ssu2_3,0
ACA,Ependymal_Tmem212_1700012P22Rik,0
ACA,Ependymal_Tmem212_1700012P22Rik_Sntn,0
ACA,Ependymal_Tmem212_Col6a5,50
ACA,Ependymal_Tmem212_Cuzd1,0
ACA,Ependymal_Tmem212_Dnase2b,7
ACA,Ependymal_Tmem212_Krt15,6
ACA,Ependymal_Tmem212_Lgi1,0
ACA,Ependymal_Tmem212_Rspo2,3
ACA,Ependymal_Tmem212_Sbpl,0
ACA,Ependymal_Tmem212_Tfr2,0
ACA,Ependymal_Tmem212_Ttr,0
ACA,ExInh_Lmx1b_Card14,0
ACA,ExInh_Lmx1b_Met,0
ACA,ExInh_Lmx1b_Ngf,0
ACA,ExInh_Lmx1b_Nmu_1,0
ACA,ExInh_Lmx1b_Nmu_2,0
ACA,ExInh_Lmx1b_Slc26a7_1,0
ACA,ExInh_Lmx1b_Slc26a7_2,0
ACA,Ex_Abi3bp_Calcrl,0
ACA,Ex_Abi3bp_Hcrtr2,0
ACA,Ex_Abi3bp_Insyn2b,0
ACA,Ex_Abi3bp_Lrmp,0
ACA,Ex_Abi3bp_Pnmt,0
ACA,Ex_Abi3bp_Tfap2d,0
ACA,Ex_C1ql2_Glp1r,0
ACA,Ex_C1ql2_Pmfbp1,0
ACA,Ex_C1ql2_Steap3_1,0
ACA,Ex_C1ql2_Steap3_2,0
