target_study,region,region_name,target_celltype,target_size,ref_celltype,AUROC,is_recip
Sziraki,WMB,whole mouse brain,Sziraki|Interneurons 1_13,103,Macosko|Inh_Lhx6_Sst_Chodl_1,0.99972021,TRUE
Sziraki,WMB,whole mouse brain,Sziraki|Interneurons 1_14,194,Macosko|Inh_Lhx6_Sfrp1_1,0.999634777,FALSE
Sziraki,WMB,whole mouse brain,Sziraki|Interneurons 1_15,15,Macosko|Inh_Lhx6_Sst_Crh_Pdzrn3,0.999857959,TRUE
Sziraki,WMB,whole mouse brain,Sziraki|Interneurons 1_2,405,Macosko|Inh_Lhx6_Pvalb_Tac1,0.997012184,TRUE
Sziraki,WMB,whole mouse brain,Sziraki|Interneurons 1_3,254,Macosko|Inh_Lhx6_Sst_Ctsc_1,0.9971848,FALSE
Sziraki,WMB,whole mouse brain,Sziraki|Interneurons 1_4,1120,Macosko|Inh_Lhx6_Pvalb_Tac1,0.997083489,TRUE
Sziraki,WMB,whole mouse brain,Sziraki|Interneurons 1_5,417,Macosko|Inh_Lhx6_Sst_Edaradd,0.99547053,FALSE
Sziraki,WMB,whole mouse brain,Sziraki|Interneurons 1_6,433,Macosko|Inh_Lhx6_Sst_AW551984,0.997073696,FALSE
Sziraki,WMB,whole mouse brain,Sziraki|Interneurons 1_7,180,Macosko|Inh_Lhx6_Vipr2,0.992638077,TRUE
Sziraki,WMB,whole mouse brain,Sziraki|Interneurons 1_8,306,Macosko|Inh_Lhx6_Cox6a2_Rxfp3,0.928052772,FALSE
Sziraki,WMB,whole mouse brain,Sziraki|Interneurons 1_9,376,Macosko|Inh_Lhx6_Cox6a2_Nxph2_2,0.996274138,TRUE
Sziraki,WMB,whole mouse brain,Sziraki|Interneurons 2_1,216,Macosko|Inh_Vip_Glp1r_Kcnh5,0.999239862,TRUE
Sziraki,WMB,whole mouse brain,Sziraki|Interneurons 2_10,338,Macosko|Inh_Vip_Grpr,0.997706004,TRUE
Sziraki,WMB,whole mouse brain,Sziraki|Interneurons 2_11,292,Macosko|Inh_Plpp4_Aox3_6,0.888617493,FALSE
Sziraki,WMB,whole mouse brain,Sziraki|Interneurons 2_12,197,Macosko|Inh_Lamp5_Egln3_Tgfbi,0.998774337,TRUE
Sziraki,WMB,whole mouse brain,Sziraki|Interneurons 2_13,113,Macosko|Inh_Sncg_Abcb5,0.995766405,FALSE
Sziraki,WMB,whole mouse brain,Sziraki|Interneurons 2_14,14,Macosko|Inh_Vip_Sncg_Yjefn3,0.998722117,TRUE
Sziraki,WMB,whole mouse brain,Sziraki|Interneurons 2_15,15,Macosko|Inh_Htr3a_Ibsp_6,0.999967308,TRUE
Sziraki,WMB,whole mouse brain,Sziraki|Interneurons 2_2,363,Macosko|Inh_Lamp5_Tnnt1_1,0.995005832,TRUE
Sziraki,WMB,whole mouse brain,Sziraki|Interneurons 2_3,249,Macosko|Inh_Lhx6_Car8_1,0.998926967,TRUE
Sziraki,WMB,whole mouse brain,Sziraki|Interneurons 2_4,117,Macosko|Inh_Sncg_Calcb_3,0.999385343,FALSE
Sziraki,WMB,whole mouse brain,Sziraki|Interneurons 2_5,487,Macosko|Inh_Lamp5_Tnnt1_1,0.999703658,TRUE
Sziraki,WMB,whole mouse brain,Sziraki|Interneurons 2_6,399,Macosko|Inh_Vip_Grpr,0.999026168,TRUE
Sziraki,WMB,whole mouse brain,Sziraki|Interneurons 2_7,163,Macosko|Inh_Vip_Sncg_Yjefn3,0.997643856,TRUE
Sziraki,WMB,whole mouse brain,Sziraki|Interneurons 2_8,163,Macosko|Inh_Htr3a_Prok2,0.997262746,TRUE
Sziraki,WMB,whole mouse brain,Sziraki|Interneurons 2_9,287,Macosko|Inh_Sncg_Slc17a8,0.998436574,TRUE
Sziraki,WMB,whole mouse brain,Sziraki|Microglia_1,1313,Macosko|Micro_Selplg_Siglech,0.983333609,TRUE
Sziraki,WMB,whole mouse brain,Sziraki|Microglia_10,15,Macosko|Lymphocyte_Pou2af1_Ms4a4c,0.987206723,TRUE
Sziraki,WMB,whole mouse brain,Sziraki|Microglia_11,22,Macosko|Macro_Mrc1_Ms4a4a,0.996150033,TRUE
Sziraki,WMB,whole mouse brain,Sziraki|Microglia_12,13,Macosko|Micro_Selplg_Siglech,0.996395664,TRUE
Sziraki,WMB,whole mouse brain,Sziraki|Microglia_13,12,Macosko|Macro_Mrc1_Ms4a4a,0.988792286,TRUE
Sziraki,WMB,whole mouse brain,Sziraki|Microglia_2,812,Macosko|Micro_Selplg_Siglech,0.997473935,TRUE
Sziraki,WMB,whole mouse brain,Sziraki|Microglia_3,592,Macosko|Micro_Selplg_Siglech,0.997326799,TRUE
Sziraki,WMB,whole mouse brain,Sziraki|Microglia_4,129,Macosko|Macro_Mrc1_Ms4a4a,0.994847915,TRUE
Sziraki,WMB,whole mouse brain,Sziraki|Microglia_5,342,Macosko|Micro_Selplg_Siglech,0.997140607,TRUE
Sziraki,WMB,whole mouse brain,Sziraki|Microglia_6,125,Macosko|Lymphocyte_Itgal_Cd3e,0.982794419,TRUE
Sziraki,WMB,whole mouse brain,Sziraki|Microglia_7,331,Macosko|Micro_Selplg_Siglech,0.997083928,TRUE
Sziraki,WMB,whole mouse brain,Sziraki|Microglia_8,98,Macosko|Micro_Selplg_Siglech,0.985412677,TRUE
