cell_type,dendro_order,cell_type_short,study,study_type
Zeng|1492,3412,1492,Zeng,Cells
Zeng|1499,3413,1499,Zeng,Cells
Zeng|1496,3414,1496,Zeng,Cells
Zeng|1501,3415,1501,Zeng,Cells
Zeng|1488,3416,1488,Zeng,Cells
Zeng|1500,3417,1500,Zeng,Cells
Zeng|1507,3418,1507,Zeng,Cells
Zeng|1489,3419,1489,Zeng,Cells
Zeng|1490,3420,1490,Zeng,Cells
Zeng|1487,3421,1487,Zeng,Cells
Zeng|1504,3422,1504,Zeng,Cells
Zeng|1726,3423,1726,Zeng,Cells
Zeng|1753,3424,1753,Zeng,Cells
Zeng|1723,3425,1723,Zeng,Cells
Macosko|Inh_Pax6_Pdgfd_2,3426,Inh_Pax6_Pdgfd_2,Macosko,Nuclei
Macosko|Inh_Pax6_Pdgfd_3,3427,Inh_Pax6_Pdgfd_3,Macosko,Nuclei
Macosko|Inh_Pax6_Pdgfd_1,3428,Inh_Pax6_Pdgfd_1,Macosko,Nuclei
Zeng|1745,3429,1745,Zeng,Cells
Zeng|1725,3430,1725,Zeng,Cells
Zeng|1727,3431,1727,Zeng,Cells
Zeng|1742,3432,1742,Zeng,Cells
Zeng|1750,3433,1750,Zeng,Cells
Macosko|Inh_Lhx1_Fgf5,3434,Inh_Lhx1_Fgf5,Macosko,Nuclei
Zeng|1755,3435,1755,Zeng,Cells
Macosko|Inh_Lhx1_Otx2_1,3436,Inh_Lhx1_Otx2_1,Macosko,Nuclei
Zeng|1757,3437,1757,Zeng,Cells
Zeng|1691,3438,1691,Zeng,Cells
Macosko|Inh_Pax6_Pou6f2_Pdgfd_4,3439,Inh_Pax6_Pou6f2_Pdgfd_4,Macosko,Nuclei
Macosko|Inh_Pax6_Pou6f2_Pdgfd_5,3440,Inh_Pax6_Pou6f2_Pdgfd_5,Macosko,Nuclei
Macosko|Inh_Pax6_Pou6f2_Pdgfd_2,3441,Inh_Pax6_Pou6f2_Pdgfd_2,Macosko,Nuclei
Macosko|Inh_Pax6_Pou6f2_Pdgfd_3,3442,Inh_Pax6_Pou6f2_Pdgfd_3,Macosko,Nuclei
Zeng|1702,3443,1702,Zeng,Cells
Zeng|1715,3444,1715,Zeng,Cells
Macosko|Inh_Pax6_Pou6f2_Pdgfd_1,3445,Inh_Pax6_Pou6f2_Pdgfd_1,Macosko,Nuclei
Zeng|1690,3446,1690,Zeng,Cells
Zeng|1692,3447,1692,Zeng,Cells
Macosko|Inh_Lhx1_Dlk1_2,3448,Inh_Lhx1_Dlk1_2,Macosko,Nuclei
Macosko|Inh_Lhx1_Dlk1_3,3449,Inh_Lhx1_Dlk1_3,Macosko,Nuclei
Zeng|1721,3450,1721,Zeng,Cells
Zeng|1687,3451,1687,Zeng,Cells
Zeng|1696,3452,1696,Zeng,Cells
Zeng|1756,3453,1756,Zeng,Cells
Zeng|1760,3454,1760,Zeng,Cells
Zeng|1776,3455,1776,Zeng,Cells
Zeng|1436,3456,1436,Zeng,Cells
Zeng|1434,3457,1434,Zeng,Cells
Zeng|1449,3458,1449,Zeng,Cells
Zeng|1440,3459,1440,Zeng,Cells
Zeng|1437,3460,1437,Zeng,Cells
Zeng|1438,3461,1438,Zeng,Cells
Zeng|1441,3462,1441,Zeng,Cells
Zeng|1601,3463,1601,Zeng,Cells
Zeng|1613,3464,1613,Zeng,Cells
Zeng|1614,3465,1614,Zeng,Cells
Zeng|1608,3466,1608,Zeng,Cells
Macosko|Ex_Otx2_Six6_1,3467,Ex_Otx2_Six6_1,Macosko,Nuclei
Zeng|1607,3468,1607,Zeng,Cells
Macosko|Ex_Otx2_Six6_3,3469,Ex_Otx2_Six6_3,Macosko,Nuclei
Zeng|1598,3470,1598,Zeng,Cells
Zeng|1610,3471,1610,Zeng,Cells
Macosko|Ex_Otx2_Six6_2,3472,Ex_Otx2_Six6_2,Macosko,Nuclei
Zeng|1604,3473,1604,Zeng,Cells
Zeng|2253,3474,2253,Zeng,Cells
Zeng|2278,3475,2278,Zeng,Cells
Zeng|2276,3476,2276,Zeng,Cells
Zeng|2251,3477,2251,Zeng,Cells
Zeng|2284,3478,2284,Zeng,Cells
Zeng|896,3479,896,Zeng,Cells
Zeng|2249,3480,2249,Zeng,Cells
Zeng|2274,3481,2274,Zeng,Cells
Zeng|2250,3482,2250,Zeng,Cells
Zeng|2263,3483,2263,Zeng,Cells
Zeng|2247,3484,2247,Zeng,Cells
Zeng|2248,3485,2248,Zeng,Cells
