,Study_ID|Celltype_1,Study_ID|Celltype_2,Mean_AUROC,Match_type
154,Zeng|4339,Macosko|Ex_Ebf2_Mgp,1.0,Reciprocal_top_hit
155,Zeng|967,Macosko|Inh_Sp8_Spp1_2,1.0,Reciprocal_top_hit
156,Zeng|3473,Macosko|Inh_Otx2_Bmp4_2,1.0,Reciprocal_top_hit
157,Zeng|2995,Macosko|Inh_Pax3_Vmn1r207_11,1.0,Reciprocal_top_hit
158,Zeng|4334,Macosko|Ex_Ebf2_C1qtnf7_2,1.0,Reciprocal_top_hit
159,Macosko|Chol_Tbx20_S100a11_2,Zeng|3894,1.0,Above_0.999
160,Zeng|3201,Macosko|Inh_Foxp2_Sox2_2,1.0,Reciprocal_top_hit
161,Zeng|4386,Macosko|Inh_Hoxc4_Abcc9_4,1.0,Above_0.999
162,Macosko|Inh_Pax2_Krt17_1,Zeng|4456,1.0,Above_0.999
163,Zeng|1371,Macosko|NG_Draxin_5,1.0,Reciprocal_top_hit
164,Zeng|3952,Macosko|Ex_Phox2b_Dbh_1,1.0,Above_0.999
165,Zeng|3649,Macosko|Ex_Hmx2_Ppef1_4,1.0,Reciprocal_top_hit
166,Zeng|3722,Macosko|Ex_Fam163a_Adad2,1.0,Reciprocal_top_hit
167,Zeng|4036,Macosko|Ex_Hmx3_Has2,1.0,Reciprocal_top_hit
168,Macosko|Inh_Hoxc4_Chrdl2_5,Zeng|4381,1.0,Above_0.999
169,Zeng|2852,Macosko|SerInh_Fev_Fbxw28,1.0,Reciprocal_top_hit
170,Macosko|Inh_Frm7_Otop1_3,Zeng|1286,1.0,Above_0.999
171,Macosko|Ex_Ebf2_Nmu_3,Zeng|4328,1.0,Above_0.999
172,Zeng|3060,Macosko|Ex_Vsx2_Igfbp4_3,1.0,Reciprocal_top_hit
173,Macosko|Inh_Hoxc4_Fbln2_2,Zeng|4387,1.0,Above_0.999
174,Macosko|Ex_Ebf2_Fer1l6_4,Zeng|4333,1.0,Above_0.999
175,Zeng|4225,Macosko|Ex_Ebf2_6430628N08Rik_5,1.0,Reciprocal_top_hit
176,Zeng|993,Macosko|Inh_Pax6_Eya4_2,1.0,Reciprocal_top_hit
177,Zeng|3919,Macosko|Ex_Phox2b_Slc39a12_3,1.0,Reciprocal_top_hit
178,Zeng|2609,Macosko|Ex_Lhx9_Atp8b1_3,1.0,Reciprocal_top_hit
179,Macosko|Ex_Ebf2_Adgrd1_1,Zeng|4339,1.0,Above_0.999
180,Macosko|Inh_Pax3_Vmn1r207_10,Zeng|2995,1.0,Above_0.999
181,Macosko|Ex_Ebf2_Fer1l6_3,Zeng|4332,1.0,Above_0.999
182,Zeng|2420,Macosko|ExInh_Lmx1b_Met,1.0,Reciprocal_top_hit
183,Zeng|3142,Macosko|Inh_Pax5_Cmtm8_1,1.0,Reciprocal_top_hit
184,Macosko|Ex_Ebf2_Sec1_3,Zeng|4231,1.0,Above_0.999
185,Macosko|Inh_Pax7_P2ry10b_4,Zeng|3001,1.0,Above_0.999
186,Zeng|24593,Macosko|CholEx_Pax2_Shisal2b,1.0,Reciprocal_top_hit
187,Zeng|4413,Macosko|Inh_Pax2_Chrdl2_2,1.0,Reciprocal_top_hit
188,Macosko|Inh_Pax5_Oxtr,Zeng|3354,1.0,Above_0.999
189,Zeng|3837,Macosko|Ex_Onecut2_Hmx3_Adamtsl3_2,1.0,Above_0.999
190,Macosko|Ex_Fbxl7_Defa24,Zeng|4050,1.0,Above_0.999
191,Zeng|8175,Macosko|Ex_Ebf2_Fzd9_3,1.0,Reciprocal_top_hit
192,Zeng|4239,Macosko|Ex_Ebf2_Olfr273_2,1.0,Reciprocal_top_hit
193,Zeng|2847,Macosko|Ser_Fev_Siglec15,1.0,Above_0.999
194,Zeng|4346,Macosko|Ex_Ebf2_Pla2g5_11,1.0,Reciprocal_top_hit
195,Zeng|4212,Macosko|Inh_Pax2_Pdyn,1.0,Reciprocal_top_hit
196,Zeng|3099,Macosko|Ex_Vsx2_Ghrh_3,1.0,Reciprocal_top_hit
197,Zeng|4382,Macosko|Inh_Hoxc4_Chrdl2_1,1.0,Reciprocal_top_hit
198,Zeng|992,Macosko|Inh_Pax6_Gpr39_3,1.0,Reciprocal_top_hit
199,Macosko|NorEx_Phox2b_Gfral_3,Zeng|3965,1.0,Above_0.999
200,Zeng|2267,Macosko|Ex_Otx2_Dynlrb2,1.0,Above_0.999
201,Zeng|3158,Macosko|Inh_Gata3_Pdlim3_4,1.0,Reciprocal_top_hit
202,Zeng|3325,Macosko|Inh_Six3_Pnliprp2_4,1.0,Reciprocal_top_hit
203,Zeng|584,Macosko|Chol_Ecel1_Gm7271,1.0,Reciprocal_top_hit
204,Zeng|568,Macosko|CholInh_Ecel1_Nid1,1.0,Above_0.999
205,Zeng|2264,Macosko|Ex_Slc12a7_Odad1_2,1.0,Reciprocal_top_hit
206,Zeng|1376,Macosko|Inh_Vip_Trim55_7,1.0,Reciprocal_top_hit
207,Zeng|586,Macosko|Chol_Ecel1_Sall4,1.0,Reciprocal_top_hit
208,Zeng|3012,Macosko|Inh_Pax7_Vmn1r207_5,1.0,Reciprocal_top_hit
209,Zeng|4230,Macosko|Ex_Ebf2_Emilin2,1.0,Reciprocal_top_hit
210,Zeng|3010,Macosko|Inh_Pax7_Vmn1r207_6,1.0,Reciprocal_top_hit
211,Macosko|Inh_Pax2_Kirrel2_2,Zeng|4208,1.0,Above_0.999
212,Macosko|Inh_Vip_Trim55_2,Zeng|1374,1.0,Above_0.999
213,Macosko|Ex_Ebf2_Fer1l6_2,Zeng|4334,1.0,Above_0.999
214,Macosko|Inh_Vip_Trim55_5,Zeng|1376,1.0,Above_0.999
215,Zeng|989,Macosko|Inh_Pax6_Eya4_4,1.0,Reciprocal_top_hit
216,Zeng|2910,Macosko|Ex_Pou4f1_Cdh3_Lpar1,1.0,Reciprocal_top_hit
217,Macosko|Ex_Pou4f1_Gpr151_Col5a3,Zeng|2909,1.0,Above_0.999
218,Zeng|3474,Macosko|Inh_Otx2_Pcp2,1.0,Reciprocal_top_hit
219,Zeng|2766,Macosko|Ng_Lhx1_Gcgr,1.0,Reciprocal_top_hit
220,Zeng|4393,Macosko|Inh_Hoxc4_Fbln2_3,1.0,Reciprocal_top_hit
221,Zeng|34308,Macosko|Inh_Tfap2b_Postn_2,1.0,Reciprocal_top_hit
222,Zeng|2787,Macosko|Ex_Lmx1b_Itih5_2,1.0,Reciprocal_top_hit
223,Zeng|2159,Macosko|Inh_Pax2_Chrna6_3,1.0,Reciprocal_top_hit
224,Zeng|3550,Macosko|Inh_Pax7_Egflam_7,1.0,Reciprocal_top_hit
225,Macosko|Ser_Fev_Wfdc12,Zeng|2847,1.0,Above_0.999
226,Zeng|1408,Macosko|NG_Draxin_2,1.0,Reciprocal_top_hit
227,Zeng|3920,Macosko|Ex_Phox2b_Dpy19l2,1.0,Reciprocal_top_hit
228,Macosko|Ex_Ebf2_Npff_2,Zeng|4332,1.0,Above_0.999
229,Zeng|4220,Macosko|Ex_Phox2b_Slc39a12_6,1.0,Reciprocal_top_hit
230,Zeng|3851,Macosko|Inh_Bhlhe22_Cdh23_1,1.0,Reciprocal_top_hit
231,Zeng|4222,Macosko|Ex_Ebf2_Abcc9_1,1.0,Reciprocal_top_hit
232,Macosko|Ex_Pou4f1_Fads2b_1,Zeng|2885,1.0,Above_0.999
233,Zeng|3895,Macosko|Chol_Tbx20_S100a11_4,1.0,Above_0.999
