...1,Study_ID|Celltype_1,Study_ID|Celltype_2,Mean_AUROC,Match_type
4834,Zeng|4106,Macosko|Inh_Fbxl7_Ankrd1,1,Reciprocal_top_hit
7949,Zeng|1383,Macosko|Inh_Plpp4_Ret,1,Reciprocal_top_hit
2035,Zeng|2377,Macosko|Ex_Lmx1a_Crhbp_5,1,Reciprocal_top_hit
7925,Zeng|1820,Macosko|Inh_Pde11a_Atp2c2_1,1,Reciprocal_top_hit
3184,Zeng|24586,Macosko|Ex_Pou4f1_Ppp1r1c_2,1,Reciprocal_top_hit
3796,Zeng|2866,Macosko|Ex_Sln_Sost_1,1,Reciprocal_top_hit
1825,Zeng|8178,Macosko|Ex_Lhx9_A1bg_1,1,Reciprocal_top_hit
8161,Zeng|1385,Macosko|Inh_Sel1l3_Zfp385c_2,1,Reciprocal_top_hit
4599,Zeng|3858,Macosko|Inh_Bhlhe22_Chrna2,1,Reciprocal_top_hit
7442,Zeng|4400,Macosko|Inh_Pax2_Tnfaip8l3_4,1,Reciprocal_top_hit
7942,Zeng|1390,Macosko|Inh_Plpp4_Aox3_5,1,Reciprocal_top_hit
2784,Zeng|3958,Macosko|Ex_Phox2b_Dbh_5,1,Reciprocal_top_hit
2746,Zeng|3949,Macosko|Ex_Phox2b_Clca3a2,1,Reciprocal_top_hit
305,Zeng|292,Macosko|Ex_Abi3bp_Insyn2b,1,Reciprocal_top_hit
1792,Zeng|3028,Macosko|Ex_Lhx4_Vsx2_2,1,Reciprocal_top_hit
2719,Zeng|3947,Macosko|Ex_Phox2b_Abcc6,1,Reciprocal_top_hit
1344,Zeng|88,Macosko|Ex_Fezf2_Urah_Sntb1,1,Reciprocal_top_hit
5301,Zeng|1324,Macosko|Inh_Frmd7_Ltbp2_3,1,Reciprocal_top_hit
8564,Zeng|972,Macosko|Inh_Sp8_Fbxw13,1,Reciprocal_top_hit
5277,Zeng|1353,Macosko|Inh_Frmd7_Edaradd,1,Reciprocal_top_hit
1554,Zeng|3818,Macosko|Ex_Hoxc6_Rxfp2_1,1,Reciprocal_top_hit
3829,Zeng|4875,Macosko|Ex_Sox6_Rbm47,1,Reciprocal_top_hit
754,Zeng|4242,Macosko|Ex_Ebf2_6430628N08Rik_3,1,Reciprocal_top_hit
8666,Zeng|4166,Macosko|Inh_Tfap2a_Pthlh_3,1,Reciprocal_top_hit
4091,Zeng|4595,Macosko|Ex_Tfap2d_Ctsc,1,Reciprocal_top_hit
