,Study_ID|Celltype_1,Study_ID|Celltype_2,Mean_AUROC,Match_type
2621,Macosko|Ex_Pax5_Ggta1_1,Zeng|4271,1.0,Above_0.99
7605,Macosko|Inh_Pax5_Pgr15l_2,Zeng|3358,1.0,Reciprocal_top_hit
1160,Macosko|Ex_Fbxl7_Tmem72_1,Zeng|4120,1.0,Above_0.99
1855,Macosko|Ex_Lhx9_Calcr,Zeng|2613,1.0,Above_0.99
7215,Macosko|Inh_Pax2_Has2_2,Zeng|4201,1.0,Above_0.99
7276,Macosko|Inh_Pax2_Irx4_2,Zeng|24711,1.0,Above_0.99
3678,Zeng|2262,Macosko|Ex_Slc12a7_Sp110,1.0,Above_0.99
2532,Macosko|Ex_Onecut2_Galnt14,Zeng|3837,1.0,Above_0.99
3663,Macosko|Ex_Slc12a7_Krt19,Zeng|2252,1.0,Reciprocal_top_hit
3209,Macosko|Ex_Pou4f2_Olfr560_1,Zeng|3964,1.0,Above_0.99
7844,Macosko|Inh_Pax8_Oxtr_3,Zeng|34137,1.0,Above_0.99
8988,Macosko|SerEx_Nkx6-1_Trh_4,Zeng|3871,1.0,Above_0.99
4737,Macosko|Inh_Ebf2_Cox8b_1,Zeng|3740,1.0,Above_0.99
8601,Macosko|Inh_Sp8_Spp1_1,Zeng|949,1.0,Reciprocal_top_hit
845,Macosko|Ex_Ebf2_Fer1l6_2,Zeng|4333,1.0,Above_0.99
7508,Macosko|Inh_Pax3_Vmn1r207_2,Zeng|2985,1.0,Reciprocal_top_hit
6018,Zeng|4385,Macosko|Inh_Hoxc4_F5_2,1.0,Above_0.99
2814,Macosko|Ex_Phox2b_Ghsr_2,Zeng|3950,1.0,Reciprocal_top_hit
7105,Macosko|Inh_Pax2_Cdh3_1,Zeng|4449,1.0,Above_0.99
1840,Macosko|Ex_Lhx9_Atp8b1_2,Zeng|2610,1.0,Above_0.99
7062,Macosko|Inh_Pax2_6430628N08Rik_4,Zeng|4204,1.0,Reciprocal_top_hit
7331,Macosko|Inh_Pax2_Olfr372_2,Zeng|4456,1.0,Above_0.99
2724,Zeng|3963,Macosko|Ex_Phox2b_Adora2a,1.0,Above_0.99
2896,Macosko|Ex_Phox2b_Slc39a12_1,Zeng|3923,1.0,Reciprocal_top_hit
7194,Macosko|Inh_Pax2_Ghrh,Zeng|3788,1.0,Above_0.99
53,Macosko|CholEx_Lhx9_Crabp1,Zeng|3689,1.0,Above_0.99
856,Macosko|Ex_Ebf2_Gask1b_2,Zeng|4330,1.0,Above_0.99
5821,Macosko|Inh_Gata3_Rln3_2,Zeng|3212,1.0,Above_0.99
4847,Macosko|Inh_Fbxl7_Cyp26b1_1,Zeng|24740,1.0,Above_0.99
4682,Macosko|Inh_Dmbx1_Chst3,Zeng|4398,1.0,Above_0.99
