cluster	class	subclass	level1_anno	level2_anno	dataset
Zeng|219	IT-ET Glut	L2/3 IT ENT Glut	Neuron	ExN	Zeng
Zeng|251	IT-ET Glut	L2/3 IT ENT Glut	Neuron	ExN	Zeng
Zeng|252	IT-ET Glut	L2/3 IT ENT Glut	Neuron	ExN	Zeng
Zeng|255	IT-ET Glut	L2/3 IT ENT Glut	Neuron	ExN	Zeng
Zeng|250	IT-ET Glut	L2/3 IT ENT Glut	Neuron	ExN	Zeng
Zeng|253	IT-ET Glut	L2/3 IT ENT Glut	Neuron	ExN	Zeng
Zeng|254	IT-ET Glut	L2/3 IT ENT Glut	Neuron	ExN	Zeng
Zeng|213	IT-ET Glut	L2/3 IT ENT Glut	Neuron	ExN	Zeng
Zeng|216	IT-ET Glut	L2/3 IT ENT Glut	Neuron	ExN	Zeng
Zeng|218	IT-ET Glut	L2/3 IT PIR-ENTl Glut	Neuron	ExN	Zeng
Zeng|220	IT-ET Glut	L2/3 IT PIR-ENTl Glut	Neuron	ExN	Zeng
Zeng|224	IT-ET Glut	L2/3 IT PIR-ENTl Glut	Neuron	ExN	Zeng
Zeng|225	IT-ET Glut	L2/3 IT PIR-ENTl Glut	Neuron	ExN	Zeng
Zeng|226	IT-ET Glut	L2/3 IT PIR-ENTl Glut	Neuron	ExN	Zeng
Zeng|227	IT-ET Glut	L2/3 IT PIR-ENTl Glut	Neuron	ExN	Zeng
Zeng|271	IT-ET Glut	L2/3 IT PIR-ENTl Glut	Neuron	ExN	Zeng
Zeng|272	IT-ET Glut	L2/3 IT PIR-ENTl Glut	Neuron	ExN	Zeng
Zeng|273	IT-ET Glut	L2/3 IT PIR-ENTl Glut	Neuron	ExN	Zeng
Zeng|274	IT-ET Glut	L2/3 IT PIR-ENTl Glut	Neuron	ExN	Zeng
Zeng|275	IT-ET Glut	L2/3 IT PIR-ENTl Glut	Neuron	ExN	Zeng
Zeng|222	IT-ET Glut	L2/3 IT PIR-ENTl Glut	Neuron	ExN	Zeng
Zeng|265	IT-ET Glut	L2/3 IT PIR-ENTl Glut	Neuron	ExN	Zeng
Zeng|266	IT-ET Glut	L2/3 IT PIR-ENTl Glut	Neuron	ExN	Zeng
Zeng|267	IT-ET Glut	L2/3 IT PIR-ENTl Glut	Neuron	ExN	Zeng
Zeng|292	IT-ET Glut	L2/3 IT PIR-ENTl Glut	Neuron	ExN	Zeng
Zeng|293	IT-ET Glut	L2/3 IT PIR-ENTl Glut	Neuron	ExN	Zeng
Zeng|260	IT-ET Glut	L2/3 IT PIR-ENTl Glut	Neuron	ExN	Zeng
Zeng|261	IT-ET Glut	L2/3 IT PIR-ENTl Glut	Neuron	ExN	Zeng
Zeng|262	IT-ET Glut	L2/3 IT PIR-ENTl Glut	Neuron	ExN	Zeng
Zeng|263	IT-ET Glut	L2/3 IT PIR-ENTl Glut	Neuron	ExN	Zeng
Zeng|264	IT-ET Glut	L2/3 IT PIR-ENTl Glut	Neuron	ExN	Zeng
Zeng|268	IT-ET Glut	L2/3 IT PIR-ENTl Glut	Neuron	ExN	Zeng
Zeng|144	IT-ET Glut	L2/3 IT PIR-ENTl Glut	Neuron	ExN	Zeng
Zeng|217	IT-ET Glut	L2/3 IT PIR-ENTl Glut	Neuron	ExN	Zeng
Zeng|221	IT-ET Glut	L2/3 IT PIR-ENTl Glut	Neuron	ExN	Zeng
Zeng|276	IT-ET Glut	L2/3 IT PIR-ENTl Glut	Neuron	ExN	Zeng
Zeng|270	IT-ET Glut	L2/3 IT PIR-ENTl Glut	Neuron	ExN	Zeng
Zeng|156	IT-ET Glut	IT AON-TT-DP Glut	Neuron	ExN	Zeng
Zeng|408	IT-ET Glut	IT AON-TT-DP Glut	Neuron	ExN	Zeng
Zeng|269	IT-ET Glut	IT AON-TT-DP Glut	Neuron	ExN	Zeng
Zeng|289	IT-ET Glut	IT AON-TT-DP Glut	Neuron	ExN	Zeng
Zeng|288	IT-ET Glut	IT AON-TT-DP Glut	Neuron	ExN	Zeng
Zeng|279	IT-ET Glut	IT AON-TT-DP Glut	Neuron	ExN	Zeng
Zeng|283	IT-ET Glut	IT AON-TT-DP Glut	Neuron	ExN	Zeng
Zeng|284	IT-ET Glut	IT AON-TT-DP Glut	Neuron	ExN	Zeng
Zeng|290	IT-ET Glut	IT AON-TT-DP Glut	Neuron	ExN	Zeng
Zeng|294	IT-ET Glut	IT AON-TT-DP Glut	Neuron	ExN	Zeng
Zeng|295	IT-ET Glut	IT AON-TT-DP Glut	Neuron	ExN	Zeng
Zeng|296	IT-ET Glut	IT AON-TT-DP Glut	Neuron	ExN	Zeng
Zeng|977	IT-ET Glut	IT AON-TT-DP Glut	Neuron	ExN	Zeng
Zeng|282	IT-ET Glut	IT AON-TT-DP Glut	Neuron	ExN	Zeng
Zeng|285	IT-ET Glut	IT AON-TT-DP Glut	Neuron	ExN	Zeng
Zeng|286	IT-ET Glut	IT AON-TT-DP Glut	Neuron	ExN	Zeng
Zeng|291	IT-ET Glut	IT AON-TT-DP Glut	Neuron	ExN	Zeng
Zeng|280	IT-ET Glut	IT AON-TT-DP Glut	Neuron	ExN	Zeng
Zeng|281	IT-ET Glut	IT AON-TT-DP Glut	Neuron	ExN	Zeng
Zeng|287	IT-ET Glut	IT AON-TT-DP Glut	Neuron	ExN	Zeng
Zeng|246	IT-ET Glut	L2 IT ENT-po Glut	Neuron	ExN	Zeng
Zeng|248	IT-ET Glut	L2 IT ENT-po Glut	Neuron	ExN	Zeng
Zeng|245	IT-ET Glut	L2 IT ENT-po Glut	Neuron	ExN	Zeng
Zeng|249	IT-ET Glut	L2 IT ENT-po Glut	Neuron	ExN	Zeng
Zeng|206	IT-ET Glut	L2 IT ENT-po Glut	Neuron	ExN	Zeng
Zeng|247	IT-ET Glut	L2 IT ENT-po Glut	Neuron	ExN	Zeng
Zeng|454	IT-ET Glut	MEA Slc17a7 Glut	Neuron	ExN	Zeng
Zeng|455	IT-ET Glut	MEA Slc17a7 Glut	Neuron	ExN	Zeng
Zeng|456	IT-ET Glut	MEA Slc17a7 Glut	Neuron	ExN	Zeng
Zeng|457	IT-ET Glut	MEA Slc17a7 Glut	Neuron	ExN	Zeng
Zeng|458	IT-ET Glut	MEA Slc17a7 Glut	Neuron	ExN	Zeng
Zeng|459	IT-ET Glut	MEA Slc17a7 Glut	Neuron	ExN	Zeng
Zeng|462	IT-ET Glut	MEA Slc17a7 Glut	Neuron	ExN	Zeng
Zeng|464	IT-ET Glut	MEA Slc17a7 Glut	Neuron	ExN	Zeng
